//Data Set,Label,Longitude,Latitude,Level,Country,Province,City,District,Township,Neighborhood,Confirmed,Suspected,Healed,Dead,Increased Confirmed,Increased Suspected,Increased Healed,Increased Dead,Comments,Time
"New Coronavirus Pneumonia",,116.654561,40.130347,"City","China","Beijing","顺义",,,,10,0,0,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,116.407526,39.90403,"Province","China","Beijing",,,,,410,0,257,7,0,0,9,2,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.408661,30.807667,"City","China","Chongqing","万州区",,,,118,0,81,4,0,0,2,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.92865,28.964494,"City","China","Chongqing","万盛经开区",,,,1,0,0,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.566022,29.642726,"City","China","Chongqing","两江新区",,,,17,0,13,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,107.730895,29.8635,"City","China","Chongqing","丰都县",,,,10,0,5,0,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.53192,29.51419,"City","China","Chongqing","九龙坡区",,,,21,0,13,1,0,0,1,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.697324,30.930613,"City","China","Chongqing","云阳县",,,,25,0,21,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.644428,29.500297,"City","China","Chongqing","南岸区",,,,15,0,8,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,106.27613,29.972084,"City","China","Chongqing","合川区",,,,23,0,15,0,0,0,0,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,107.33339,30.327717,"City","China","Chongqing","垫江县",,,,20,0,12,0,0,0,2,0,,"2020-02-28 18:38:00"
"New Coronavirus Pneumonia",,108.664214,31.947633,"City","China","Chongqing","城口县",,,,2,0,2,0,0,0,0,0,,"2020-02-28 18:38:00"
