//数据集,标签,经度,纬度,级别,国家,省,市,区县,乡镇,村庄,确认,疑似,治愈,死亡,新增确诊,新增疑似,新增治愈,新增死亡,说明,时间
"新型冠状病毒肺炎",,122.243444,43.65289,"市","中国","内蒙古","通辽",,,,7,0,2,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,109.781327,39.608266,"市","中国","内蒙古","鄂尔多斯",,,,11,0,9,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.048222,43.933454,"市","中国","内蒙古","锡林郭勒",,,,9,0,2,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,111.765617,40.817498,"省","中国","内蒙古",,,,,75,0,45,0,0,0,3,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.416357,39.928353,"市","中国","北京","东城",,,,13,0,1,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.287149,39.858427,"市","中国","北京","丰台",,,,42,0,0,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,-200.0,-200.0,"市","中国","北京","外地来京人员",,,,25,0,2,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.341014,39.784747,"市","中国","北京","大兴",,,,39,0,16,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.843177,40.376834,"市","中国","北京","密云",,,,7,0,0,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,115.974848,40.456951,"市","中国","北京","延庆",,,,1,0,0,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.642349,40.315704,"市","中国","北京","怀柔",,,,7,0,3,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.143267,39.749144,"市","中国","北京","房山",,,,16,0,0,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.231204,40.22066,"市","中国","北京","昌平",,,,29,0,3,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.601144,39.948574,"市","中国","北京","朝阳",,,,70,0,0,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.329519,39.972134,"市","中国","北京","海淀",,,,62,0,0,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.222982,39.906611,"市","中国","北京","石景山",,,,14,0,8,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.365868,39.912289,"市","中国","北京","西城",,,,53,0,0,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.656435,39.909946,"市","中国","北京","通州",,,,19,0,1,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.102009,39.940646,"市","中国","北京","门头沟",,,,3,0,0,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.654561,40.130347,"市","中国","北京","顺义",,,,10,0,0,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,116.407526,39.90403,"省","中国","北京",,,,,410,0,257,7,0,0,9,2,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,121.508903,25.044319,"省","中国","台湾",,,,,34,0,9,1,2,0,4,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,124.829026,43.503352,"市","中国","吉林","公主岭",,,,6,0,5,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,126.549576,43.837883,"市","中国","吉林","吉林",,,,5,0,5,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,124.350398,43.166419,"市","中国","吉林","四平",,,,15,0,11,1,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,129.508946,42.891253,"市","中国","吉林","延边",,,,5,0,5,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,124.825117,45.141789,"市","中国","吉林","松原",,,,2,0,2,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,125.683832,42.530341,"市","中国","吉林","梅河口市",,,,1,0,1,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,122.839024,45.619641,"市","中国","吉林","白城",,,,1,0,0,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,125.143532,42.887918,"市","中国","吉林","辽源",,,,7,0,4,0,0,0,2,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,125.939697,41.728401,"市","中国","吉林","通化",,,,6,0,3,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,125.323544,43.817071,"市","中国","吉林","长春",,,,45,0,37,0,0,0,2,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,125.32599,43.896536,"省","中国","吉林",,,,,93,0,73,1,0,0,6,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,103.765568,29.552106,"市","中国","四川","乐山",,,,3,0,3,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,105.058433,29.580228,"市","中国","四川","内江",,,,22,0,18,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,102.267335,27.88161,"市","中国","四川","凉山州",,,,13,0,10,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,106.110698,30.837793,"市","中国","四川","南充",,,,39,0,23,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,104.643215,28.751768,"市","中国","四川","宜宾",,,,12,0,10,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,106.747477,31.867903,"市","中国","四川","巴中",,,,24,0,11,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,105.843357,32.435435,"市","中国","四川","广元",,,,6,0,6,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,106.633212,30.455961,"市","中国","四川","广安",,,,30,0,21,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,104.397894,31.126855,"市","中国","四川","德阳",,,,18,0,10,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,104.066541,30.572269,"市","中国","四川","成都",,,,143,0,85,3,0,0,2,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,101.718637,26.582347,"市","中国","四川","攀枝花",,,,16,0,16,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,105.442258,28.871811,"市","中国","四川","泸州",,,,24,0,20,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,101.96231,30.04952,"市","中国","四川","甘孜",,,,78,0,23,0,4,0,5,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,103.848538,30.075439,"市","中国","四川","眉山",,,,8,0,6,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,104.679114,31.46745,"市","中国","四川","绵阳",,,,22,0,15,0,0,0,1,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,104.778442,29.33903,"市","中国","四川","自贡",,,,9,0,9,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,104.627636,30.128901,"市","中国","四川","资阳",,,,4,0,2,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,107.468023,31.209571,"市","中国","四川","达州",,,,42,0,26,0,0,0,6,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,105.592898,30.532847,"市","中国","四川","遂宁",,,,17,0,15,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,102.224653,31.899413,"市","中国","四川","阿坝",,,,1,0,1,0,0,0,0,0,,"2020-02-28 16:58:00"
"新型冠状病毒肺炎",,103.013261,29.980537,"市","中国","四川","雅安",,,,7,0,6,0,0,0,0,0,,"2020-02-28 16:58:00"
