"湖北",114.341861,30.546498,"湖北省","中国","湖北","","","","","","","420000","","","省"
"广东",113.26653,23.132191,"广东省","中国","广东","","","","","","","440000","","","省"
"河南",113.753602,34.765515,"河南省","中国","河南","","","","","","","410000","","","省"
"浙江",120.152791,30.267446,"浙江省","中国","浙江","","","","","","","330000","","","省"
"湖南",112.98381,28.112444,"湖南省","中国","湖南","","","","","","","430000","","","省"
"安徽",117.284922,31.861184,"安徽省","中国","安徽","","","","","","","340000","","","省"
"江西",115.909228,28.675696,"江西省","中国","江西","","","","","","","360000","","","省"
"江苏",118.763232,32.061707,"江苏省","中国","江苏","","","","","","","320000","","","省"
"重庆",106.551556,29.563009,"重庆市","中国","重庆","重庆市","023","","","","","500000","","","省"
"山东",117.020359,36.66853,"山东省","中国","山东","","","","","","","370000","","","省"
"四川",104.075931,30.651651,"四川省","中国","四川","","","","","","","510000","","","省"
"黑龙江",126.661669,45.742347,"黑龙江省","中国","黑龙江","","","","","","","230000","","","省"
"北京",116.407526,39.90403,"北京市","中国","北京","北京市","010","","","","","110000","","","省"
"上海",121.473701,31.230416,"上海市","中国","上海","上海市","021","","","","","310000","","","省"
"河北",114.468664,38.037057,"河北省","中国","河北","","","","","","","130000","","","省"
"福建",119.295144,26.100779,"福建省","中国","福建","","","","","","","350000","","","省"
"陕西",108.954239,34.265472,"陕西省","中国","陕西","","","","","","","610000","","","省"
"广西",108.327546,22.815478,"广西壮族自治区","中国","广西","","","","","","","450000","","","省"
"海南",110.349228,20.017377,"海南省","中国","海南","","","","","","","460000","","","省"
"云南",102.710002,25.045806,"云南省","中国","云南","","","","","","","530000","","","省"
"贵州",106.70741,26.598194,"贵州省","中国","贵州","","","","","","","520000","","","省"
"山西",112.562398,37.873531,"山西省","中国","山西","","","","","","","140000","","","省"
"天津",117.200983,39.084158,"天津市","中国","天津","天津市","022","","","","","120000","","","省"
"辽宁",123.42944,41.835441,"辽宁省","中国","辽宁","","","","","","","210000","","","省"
"甘肃",103.826308,36.059421,"甘肃省","中国","甘肃","",,"","","","","620000","","","省"
"吉林",125.32599,43.896536,"吉林省","中国","吉林","","","","","","","220000","","","省"
"宁夏",106.258754,38.471317,"宁夏回族自治区","中国","宁夏","","","","","","","640000","","","省"
"新疆",87.627704,43.793026,"新疆维吾尔自治区","中国","新疆","","","","","","","650000","","","省"
"内蒙古",111.765617,40.817498,"内蒙古自治区","中国","内蒙古","","","","","","","150000","","","省"
"香港",114.163825,22.276284,"香港特别行政区","中国","香港","","","","","","","810000","","","省"
"青海",101.780199,36.620901,"青海省","中国","青海","","","","","","","630000","","","省"
"台湾",121.508903,25.044319,"台湾省","中国","台湾","","","","","","","710000","","","省"
"澳门",113.543028,22.186835,"澳门特别行政区","中国","澳门","",,"","","","","820000","","","省"
"西藏",91.117212,29.646922,"西藏自治区","中国","西藏","","","","","","","540000","","","省"
"安哥拉",17.87,-11.2,,"安哥拉",,,,,,,,,,,"国家"
"阿富汗",67.71,33.94,,"阿富汗",,,,,,,,,,,"国家"
"阿尔巴尼亚",20.17,41.15,,"阿尔巴尼亚",,,,,,,,,,,"国家"
"阿尔及利亚",1.66,28.03,,"阿尔及利亚",,,,,,,,,,,"国家"
"安道尔",1.52,42.51,,"安道尔",,,,,,,,,,,"国家"
"安圭拉",-63.07,18.22,,"安圭拉",,,,,,,,,,,"国家"
"阿根廷",-63.62,-38.42,,"阿根廷",,,,,,,,,,,"国家"
"亚美尼亚",45.04,40.07,,"亚美尼亚",,,,,,,,,,,"国家"
"阿森松岛",-90.94,30.2,,"阿森松岛",,,,,,,,,,,"国家"
"澳大利亚",133.78,-25.27,,"澳大利亚",,,,,,,,,,,"国家"
"奥地利",14.55,47.52,,"奥地利",,,,,,,,,,,"国家"
"阿塞拜疆",47.58,40.14,,"阿塞拜疆",,,,,,,,,,,"国家"
"巴哈马",-77.4,25.03,,"巴哈马",,,,,,,,,,,"国家"
"巴林",50.56,26.07,,"巴林",,,,,,,,,,,"国家"
"孟加拉国",90.36,23.68,,"孟加拉国",,,,,,,,,,,"国家"
"巴巴多斯",-59.54,13.19,,"巴巴多斯",,,,,,,,,,,"国家"
"白俄罗斯",27.95,53.71,,"白俄罗斯",,,,,,,,,,,"国家"
"比利时",4.47,50.5,,"比利时",,,,,,,,,,,"国家"
"伯利兹",-88.5,17.19,,"伯利兹",,,,,,,,,,,"国家"
"贝宁",2.32,9.31,,"贝宁",,,,,,,,,,,"国家"
"百慕大群岛",-64.75,32.31,,"百慕大群岛",,,,,,,,,,,"国家"
