gcid,levelid,longitude,latitude,chinese_name,english_name,code1,code2,code3,code4,code5,alias1,alias2,alias3,alias4,alias5,area,population,owner,continentid,countryid,provinceid,cityid,countyid,townid,villageid,buildingid,comments
2050,6,114.51968,37.766013,元氏县,,130132,0311,130132000000,,,元氏,,,,,,,1203,2,100,1002,1203,2050,,,,
2051,6,114.770238,37.755792,赵县,,130133,0311,130133000000,,,,,,,,,,1203,2,100,1002,1203,2051,,,,
2052,6,114.462914,38.007342,石家庄高新技术产业开发区,,130104,0311,130171000000,,,,,,,,,,1203,2,100,1002,1203,2052,,,,
2053,6,114.687527,37.996118,石家庄循环化工园区,,130109,0311,130172000000,,,石家庄循环化工园,,,,,,,1203,2,100,1002,1203,2053,,,,
2054,6,115.211967,37.942597,辛集市,,130181,0311,130181000000,,,辛集,,,,,,,1203,2,100,1002,1203,2054,,,,
2055,6,115.03799,38.032831,晋州市,,130183,0311,130183000000,,,晋州,,,,,,,1203,2,100,1002,1203,2055,,,,
2056,6,114.678072,38.342742,新乐市,,130184,0311,130184000000,,,新乐,,,,,,,1203,2,100,1002,1203,2056,,,,
2057,6,118.148001,39.623705,路南区,,130202,0315,130202000000,,,路南,,,,,,,1204,2,100,1002,1204,2057,,,,
2058,6,118.194471,39.623166,路北区,,130203,0315,130203000000,,,路北,,,,,,,1204,2,100,1002,1204,2058,,,,
2059,6,118.441371,39.732187,古冶区,,130204,0315,130204000000,,,古冶,,,,,,,1204,2,100,1002,1204,2059,,,,
2060,6,118.255696,39.669759,开平区,,130205,0315,130205000000,,,开平,,,,,,,1204,2,100,1002,1204,2060,,,,
2061,6,118.078716,39.574635,丰南区,,130207,0315,130207000000,,,丰南,,,,,,,1204,2,100,1002,1204,2061,,,,
2062,6,118.155859,39.831215,丰润区,,130208,0315,130208000000,,,丰润,,,,,,,1204,2,100,1002,1204,2062,,,,
2063,6,118.454213,39.271857,曹妃甸区,,130209,0315,130209000000,,,曹妃甸,,,,,,,1204,2,100,1002,1204,2063,,,,
2064,6,118.676446,39.517859,滦南县,,130224,0315,130224000000,,,滦南,,,,,,,1204,2,100,1002,1204,2064,,,,
2065,6,118.906768,39.424607,乐亭县,,130225,0315,130225000000,,,乐亭,,,,,,,1204,2,100,1002,1204,2065,,,,
2066,6,118.308444,40.140155,迁西县,,130227,0315,130227000000,,,迁西,,,,,,,1204,2,100,1002,1204,2066,,,,
2067,6,117.732242,39.899154,玉田县,,130229,0315,130229000000,,,玉田,,,,,,,1204,2,100,1002,1204,2067,,,,
