name,rgba,rgb,value,SRGB,HSB,AdobeRGB,AppleRGB,EciRGB,SRGBLinear,AdobeRGBLinear,AppleRGBLinear,CalculatedCMYK,EciCMYK,AdobeCMYK,XYZ,CieLab,Lchab,CieLuv,Lchuv,PaletteIndex
乌金,0xa78e44ff,"#A78E44",-5796284,167 142 68 100%,45 59% 65%,159 141 74,149 124 49,166 153 82,99 69 15,90 69 17,97 69 13,0 15 59 35,34 27 76 0,33 36 83 6,0.280942 0.2834 0.072933,60.19 3.05 42.28,60.19 42.39 85.88,60.19 21.43 38.2,60.19 43.8 60.71,-1
昏黄,0xc89b40ff,"#C89B40",-3630272,200 155 64 100%,40 68% 78%,187 154 72,186 137 44,191 166 81,147 84 13,129 84 16,144 83 11,0 22 68 22,21 26 79 0,22 35 85 2,0.38542 0.366599 0.076491,67.02 10.47 52.63,67.02 53.66 78.75,67.02 37.47 44.94,67.02 58.51 50.18,-1
棕黄,0xae7000ff,"#AE7000",-5345280,174 112 0 100%,39 100% 68%,158 111 26,155 92 0,164 124 29,108 41 0,89 41 2,104 40 0,0 36 100 32,29 44 96 0,24 53 100 11,0.246968 0.210334 0.021631,52.99 20.18 59.53,52.99 62.86 71.27,52.99 52.2 39.92,52.99 65.72 37.41,-1
琥珀,0xca6924ff,"#CA6924",-3512028,202 105 36 100%,25 82% 79%,180 105 46,185 83 23,183 117 53,151 36 4,118 36 6,143 34 3,0 48 82 21,16 54 85 0,15 64 100 5,0.314474 0.233753 0.034545,55.46 36.17 53.76,55.46 64.79 56.07,55.46 80.29 34.61,55.46 87.43 23.32,-1
棕色,0xb25d25ff,"#B25D25",-5087963,178 93 37 100%,24 79% 70%,158 93 45,158 72 25,163 104 50,114 28 5,89 28 6,108 26 4,0 48 79 30,26 57 84 0,21 67 99 11,0.238938 0.178651 0.030044,49.33 32.45 46.35,49.33 56.58 55.01,49.33 69.57 29.7,49.33 75.65 23.11,-1
茶色,0xb35c44ff,"#B35C44",-5022652,179 92 68 100%,13 62% 70%,159 92 71,159 71 51,164 103 79,115 27 15,90 27 15,109 25 14,0 49 62 30,25 59 68 0,21 71 76 10,0.246058 0.180528 0.057956,49.56 34.56 30.52,49.56 46.1 41.45,49.56 67.98 20.21,49.56 70.92 16.56,-1
棕红,0x9b4400ff,"#9B4400",-6601728,155 68 0 100%,26 100% 61%,136 70 16,133 50 0,142 78 18,84 15 0,64 15 1,79 13 0,0 56 100 39,35 67 97 0,23 79 100 21,0.165195 0.114372 0.01018,40.31 35.0 50.87,40.31 61.75 55.47,40.31 71.56 26.45,40.31 76.29 20.29,-1
赭,0x9c5333ff,"#9C5333",-6532301,156 83 51 100%,18 67% 61%,139 84 56,135 63 37,145 93 61,85 22 8,67 22 9,81 21 8,0 47 67 39,35 59 76 0,25 72 85 18,0.183019 0.137989 0.036674,43.94 28.97 32.51,43.94 43.55 48.29,43.94 57.51 21.43,43.94 61.37 20.44,-1
驼色,0xa88462ff,"#A88462",-5733278,168 132 98 100%,29 42% 66%,157 131 100,149 112 78,164 142 109,100 59 31,88 59 32,97 58 30,0 21 42 34,34 34 60 0,31 45 62 7,0.27708 0.259943 0.11509,58.03 10.85 23.92,58.03 26.27 65.61,58.03 27.13 22.14,58.03 35.02 39.21,-1
秋色,0x896c39ff,"#896C39",-7771079,137 108 57 100%,38 58% 54%,129 108 63,117 89 41,136 118 67,64 38 10,57 38 12,62 38 10,0 21 58 46,46 42 78 0,39 49 85 18,0.172686 0.165644 0.047268,47.71 7.24 32.74,47.71 33.53 77.53,47.71 23.32 27.61,47.71 36.14 49.81,-1
