name,rgba
浅蓝图标-深色,0x4788c7ff
浅蓝图标-浅色,0xdff0feff
深蓝图标-深色,0x0066ccff
深蓝图标-浅色,0x92cbfeff
红色图标-深色,0xc94d58ff
红色图标-浅色,0xfeb6beff
橘色图标-深色,0xc8754bff
橘色图标-浅色,0xfecdb6ff
粉红图标-深色,0xde88c7ff
粉红图标-浅色,0xffdcfeff
