name,rgba
Light Blue Icon-dark,0x4788c7ff
Light Blue Icon-light,0xdff0feff
Blue Icon-dark,0x0066ccff
Blue Icon-light,0x92cbfeff
Red Icon-dark,0xc94d58ff
Red Icon-light,0xfeb6beff
Orange Icon-dark,0xc8754bff
Orange Icon-light,0xfecdb6ff
Pink Icon-dark,0xde88c7ff
Pink Icon-light,0xffdcfeff
