# 制作：北京语言大学-汉语国际教育技术研发中心 http://nlp.blcu.edu.cn
"Idiom","Pinyin"
地覆天翻,di4_fu4_tian1_fan1
地广人稀,di4_guang3_ren2_xi1
地角天涯,di4_jiao3_tian1_ya2
地久天长,di4_jiu3_tian1_chang2
地老天荒,di4_lao3_tian1_huang1
地利人和,di4_li4_ren2_he2
地灵人杰,di4_ling2_ren2_jie2
颠倒黑白,dian1_dao3_hei1_bai2
颠倒是非,dian1_dao3_shi4_fei1
颠沛流离,dian1_pei4_liu2_li2
颠扑不破,dian1_pu1_bu2_po4
颠三倒四,dian1_san1_dao3_si4
掂斤播两,dian1_jin1_bo1_liang3
点到为止,dian3_dao4_wei2_zhi3
点金成铁,dian3_jin1_cheng2_tie3
点石成金,dian3_shi2_cheng2_jin1
点铁成金,dian2_tie3_cheng2_jin1
雕虫小技,diao1_chong2_xiao3_ji4
雕梁画栋,diao1_liang2_hua4_dong4
刁钻古怪,diao1_zuan1_gu3_guai4
掉以轻心,diao4_yi3_qing1_xin1
吊民伐罪,diao4_min2_fa2_zui4
调兵遣将,diao4_bing1_qian3_jiang4
调虎离山,diao4_hu3_li2_shan1
调三斡四,diao4_san1_wo4_si4
调嘴弄舌,tiao2_zui3_nong4_she2
叠床架屋,die2_chuang2_jia4_wu1
顶礼膜拜,ding2_li3_mo2_bai4
顶天立地,ding3_tian1_li4_di4
鼎鼎大名,ding2_ding3_da4_ming2
鼎足之势,ding3_zu2_zhi1_shi4
丢盔弃甲,diu1_kui1_qi4_jia3
丢盔卸甲,diu1_kui1_xie4_jia3
丢三落四,diu1_san1_la4_si4
丢卒保车,diu1_zu2_bao3_ju1
东奔西跑,dong1_ben1_xi1_pao2
东奔西走,dong1_ben1_xi1_zou3
东倒西歪,dong1_dao3_xi1_wai1
东拉西扯,dong1_la1_xi1_che3
东鳞西爪,dong1_lin2_xi1_zhao3
东拼西凑,dong1_pin1_xi1_cou4
东山再起,dong1_shan1_zai4_qi3
东施效颦,dong1_shi1_xiao4_pin2
动魄惊心,dong4_po4_jing1_xin1
动人心弦,dong4_ren2_xin1_xian2
洞房花烛,dong4_fang2_hua1_zhu2
洞若观火,dong4_ruo4_guan1_huo3
斗志昂扬,dou4_zhi4_ang2_yang2
豆蔻年华,dou4_kou4_nian2_hua2
独辟蹊径,du2_pi4_xi1_jing4
独出心裁,du2_chu1_xin1_cai2
独当一面,du2_dang1_yi2_mian4
独到之处,du2_dao4_zhi1_chu4
独断独行,du2_duan4_du2_xing2
独断专行,du2_duan4_zhuan1_xing2
独具匠心,du2_ju4_jiang4_xin1
独具只眼,du2_ju4_zhi1_yan3
独木难支,du2_mu4_nan2_zhi1
独善其身,du2_shan4_qi2_shen1
独树一帜,du2_shu4_yi2_zhi4
独一无二,du2_yi4_wu2_er4
独占鳌头,du2_zhan4_ao2_tou2
睹物伤情,du3_wu4_shang1_qing2
度日如年,du4_ri4_ru2_nian2
妒贤嫉能,du4_xian2_ji2_neng2
短兵相接,duan3_bing1_xiang1_jie1
短小精悍,duan2_xiao3_jing1_han4
断壁残垣,duan4_bi4_can2_yuan2
断编残简,duan4_bian1_can2_jian3
断断续续,duan4_duan4_xu4_xu4
断简残编,duan4_jian3_can2_bian1
断线风筝,duan4_xian4_feng1_zheng1
断垣残壁,duan4_yuan2_can2_bi4
断章取义,duan4_zhang1_qu3_yi4
堆积如山,dui1_ji1_ru2_shan1
堆金积玉,dui1_jin1_ji1_yu4
对答如流,dui4_da2_ru2_liu2
对牛弹琴,dui4_niu2_tan2_qin2
对症下药,dui4_zheng4_xia4_yao4
顿开茅塞,dun4_kai1_mao2_se4
囤积居奇,tun2_ji1_ju1_qi2
多才多艺,duo1_cai2_duo1_yi4
多愁善感,duo1_chou2_shan4_gan3
多此一举,duo1_ci3_yi4_ju3
多多益善,duo1_duo1_yi4_shan4
多谋善断,duo1_mou2_shan4_duan4
多难兴邦,duo1_nan4_xing1_bang1
多事之秋,duo1_shi4_zhi1_qiu1
夺眶而出,duo2_kuang4_er2_chu1
鹅行鸭步,e2_xing2_ya1_bu4
额手称庆,e2_shou3_cheng1_qing4
恶贯满盈,e4_guan4_man3_ying2
饿虎扑食,e4_hu3_pu1_shi2
饿殍遍野,e4_piao3_bian4_ye3
恩将仇报,en1_jiang1_chou2_bao4
恩同再造,en1_tong2_zai4_zao4
恩重如山,en1_zhong4_ru2_shan1
而立之年,er2_li4_zhi1_nian2
耳聪目明,er3_cong1_mu4_ming2
耳目一新,er3_mu4_yi4_xin1
耳软心活,er2_ruan3_xin1_huo2
耳熟能详,er3_shu2_neng2_xiang2
耳提面命,er3_ti2_mian4_ming4
耳闻目睹,er3_wen2_mu4_du3
耳濡目染,er3_ru2_mu4_ran3
尔虞我诈,er3_yu2_wo3_zha4
尔诈我虞,er3_zha4_wo3_yu2
发奋图强,fa1_fen4_tu2_qiang2
发愤图强,fa1_fen4_tu2_qiang2
发愤忘食,fa1_fen4_wang4_shi2
发号施令,fa1_hao4_shi1_ling4
发聋振聩,fa1_long2_zhen4_kui4
发人深省,fa1_ren2_shen1_xing3
发人深醒,fa1_ren2_shen1_xing3
发扬光大,fa1_yang2_guang1_da4
发扬踔厉,fa1_yang2_chuo1_li4
发纵指示,fa1_zong4_zhi3_shi4
罚不当罪,fa2_bu4_dang1_zui4
翻江倒海,fan1_jiang1_dao2_hai3
翻来覆去,fan1_lai2_fu4_qu4
翻然悔悟,fan1_ran2_hui3_wu4
翻山越岭,fan1_shan1_yue4_ling3
翻天覆地,fan1_tian1_fu4_di4
翻天复地,fan1_tian1_fu4_di4
翻箱倒柜,fan1_xiang1_dao3_gui4
翻云覆雨,fan1_yun2_fu4_yu3
繁荣昌盛,fan2_rong2_chang1_sheng4
繁荣富强,fan2_rong2_fu4_qiang2
繁文缛节,fan2_wen2_ru4_jie2
凡夫俗子,fan2_fu1_su2_zi3
反唇相讥,fan3_chun2_xiang1_ji1
反复无常,fan3_fu4_wu2_chang2
反戈一击,fan3_ge1_yi4_ji1
反躬自省,fan3_gong1_zi4_xing3
反躬自问,fan3_gong1_zi4_wen4
反客为主,fan3_ke4_wei2_zhu3
反目成仇,fan3_mu4_cheng2_chou2
反求诸己,fan3_qiu2_zhu1_ji3
返老还童,fan2_lao3_huan2_tong2
泛泛而谈,fan4_fan4_er2_tan2
泛滥成灾,fan4_lan4_cheng2_zai1
方兴未艾,fang1_xing1_wei4_ai4
防不胜防,fang2_bu2_sheng4_fang2
防患未然,fang2_huan4_wei4_ran2
防微杜渐,fang2_wei1_du4_jian4
放荡不羁,fang4_dang4_bu4_ji1
放虎归山,fang4_hu3_gui1_shan1
放任自流,fang4_ren4_zi4_liu2
非驴非马,fei1_lv2_fei1_ma3
非同小可,fei1_tong2_xiao2_ke3
飞短流长,fei1_duan3_liu2_chang2
飞蛾投火,fei1_e2_tou2_huo3
飞黄腾达,fei1_huang2_teng2_da2
飞禽走兽,fei1_qin2_zou3_shou4
飞砂走石,fei1_sha1_zou3_shi2
飞沙走石,fei1_sha1_zou3_shi2
飞扬跋扈,fei1_yang2_ba2_hu4
飞针走线,fei1_zhen1_zou3_xian4
飞檐走壁,fei1_yan2_zou3_bi4
匪夷所思,fei3_yi2_suo3_si1
吠形吠声,fei4_xing2_fei4_sheng1
肺腑之言,fei4_fu3_zhi1_yan2
废寝忘食,fei4_qin3_wang4_shi2
沸反盈天,fei4_fan3_ying2_tian1
费尽心机,fei4_jin4_xin1_ji1
分崩离析,fen1_beng1_li2_xi1
分道扬镳,fen1_dao4_yang2_biao1
分斤掰两,fen1_jin1_bai1_liang3
分门别类,fen1_men2_bie2_lei4
分庭抗礼,fen1_ting2_kang4_li3
分文不取,fen1_wen2_bu4_qu3
纷纷扬扬,fen1_fen1_yang2_yang2
纷至沓来,fen1_zhi4_ta4_lai2
焚膏继晷,fen2_gao1_ji4_gui3
粉墨登场,fen3_mo4_deng1_chang3
粉身碎骨,fen3_shen1_sui4_gu3
奋不顾身,fen4_bu2_gu4_shen1
奋发图强,fen4_fa1_tu2_qiang2
奋发有为,fen4_fa1_you3_wei2
奋起直追,fen4_qi3_zhi2_zhui1
奋勇当先,fen4_yong3_dang1_xian1
愤世嫉俗,fen4_shi4_ji2_su2
丰富多采,feng1_fu4_duo1_cai3
丰富多彩,feng1_fu4_duo1_cai3
丰功伟绩,feng1_gong1_wei3_ji1
丰衣足食,feng1_yi1_zu2_shi2
封官许愿,feng1_guan1_xu3_yuan4
封妻荫子,feng1_qi1_yin1_zi3
封山育林,feng1_shan1_yu4_lin2
蜂拥而上,feng1_yong1_er2_shang4
锋芒毕露,feng1_mang2_bi4_lu4
锋芒所向,feng1_mang2_suo3_xiang4
风餐露宿,feng1_can1_lu4_su4
风尘仆仆,feng1_chen2_pu2_pu2
风驰电掣,feng1_chi2_dian4_che4
风吹草动,feng1_chui1_cao3_dong4
风吹日晒,feng1_chui1_ri4_shai4
风吹雨打,feng1_chui1_yu2_da3
风调雨顺,feng1_tiao2_yu3_shun4
风风雨雨,feng1_feng1_yu2_yu3
风和日丽,feng1_he2_ri4_li4
风和日暖,feng1_he2_ri4_nuan3
风花雪月,feng1_hua1_xue3_yue4
风华正茂,feng1_hua2_zheng4_mao4
风景如画,feng1_jing3_ru2_hua4
风卷残云,feng1_juan3_can2_yun2
风流人物,feng1_liu2_ren2_wu4
风流云散,feng1_liu2_yun2_san4
风平浪静,feng1_ping2_bo1_jing4
风起云涌,feng1_qi3_yun2_yong3
风声鹤唳,feng1_sheng1_he4_li4
风俗人情,feng1_su2_ren2_qing2
风土民情,feng1_tu3_min2_qing2
风土人情,feng1_tu3_ren2_qing2
风言风语,feng1_yan2_feng1_yu3
风雨交加,feng1_yu3_jiao1_jia1
风雨飘摇,feng1_yu3_piao1_yao2
风雨凄凄,feng1_yu3_qi1_qi1
风雨如晦,feng1_yu3_ru2_hui4
风雨如磐,feng1_yu3_ru2_pan2
风雨同舟,feng1_yu3_tong2_zhou1
风雨无阻,feng1_yu3_wu2_zu3
风云变幻,feng1_yun2_bian4_huan4
风云人物,feng1_yun2_ren2_wu4
风烛残年,feng1_zhu2_can2_nian2
逢场作戏,feng2_chang3_zuo4_xi4
逢凶化吉,feng2_xiong1_hua4_ji2
奉公守法,feng4_gong1_shou2_fa3
奉命唯谨,feng4_ming4_wei2_jin3
凤毛麟角,feng4_mao2_lin2_jiao3
佛口蛇心,fo2_kou3_she2_xin1
佛头着粪,fo2_tou2_zhuo2_fen4
夫唱妇随,fu1_chang4_fu4_sui2
夫子自道,fu1_zi3_zi4_dao4
敷衍了事,fu1_yan2_liao3_shi4
敷衍塞责,fu1_yan3_se4_ze2
扶老携幼,fu2_lao3_xie2_you4
扶摇直上,fu2_yao2_zhi2_shang4
拂衣而去,fu2_yi1_er2_qu4
浮光掠影,fu2_guang1_lue4_ying3
浮想联翩,fu2_xiang3_lian2_pian1
福至心灵,fu2_zhi4_xin1_ling2
抚躬自问,fu3_gong1_zi4_wen4
抚今追昔,fu3_jin1_zhui1_xi1
俯拾即是,fu3_shi2_ji2_shi4
俯首帖耳,fu2_shou3_tie1_er3
俯仰由人,fu2_yang3_you2_ren2
俯仰之间,fu2_yang3_zhi1_jian1
釜底抽薪,fu2_di3_chou1_xin1
釜底游鱼,fu2_di3_you2_yu2
赴汤蹈火,fu4_tang1_dao2_huo3
覆盆之冤,fu4_pen2_zhi1_yuan1
付之东流,fu4_zhi1_dong1_liu2
付之一炬,fu4_zhi1_yi2_ju4
付之一笑,fu4_zhi1_yi2_xiao4
付诸东流,fu4_zhu1_dong1_liu2
腹背受敌,fu4_bei4_shou4_di2
负荆请罪,fu4_jing1_qing3_zui4
负隅顽抗,fu4_yu2_wan2_kang4
富贵浮云,fu4_gui4_fu2_yun2
富国兴邦,fu4_guo2_xing1_bang1
富丽堂皇,fu4_li4_tang2_huang2
附庸风雅,fu4_yong1_feng1_ya3
妇孺皆知,fu4_ru2_jie1_zhi1
改朝换代,gai3_chao2_huan4_dai4
改过迁善,gai3_guo4_qian1_shan4
改过自新,gai3_guo4_zi4_xin1
改天换地,gai3_tian1_huan4_di4
改头换面,gai3_tou2_huan4_mian4
改弦更张,gai3_xian2_geng1_zhang1
改弦易辙,gai3_xian2_yi4_zhe2
改邪归正,gai3_xie2_gui1_zheng4
概莫能外,gai4_mo4_neng2_wai4
盖棺论定,gai4_guan1_lun4_ding4
盖世无双,gai4_shi4_wu2_shuang1
干戈扰攘,gan1_ge1_rao2_rang3
干戈四起,gan1_ge1_si4_qi3
干云蔽日,gan1_yun2_bi4_ri4
甘拜下风,gan1_bai4_xia4_feng1
甘心情愿,gan1_xin1_qing2_yuan4
甘之如饴,gan1_zhi1_ru2_yi2
肝肠寸断,gan1_chang2_cun4_duan4
肝胆相照,gan1_dan3_xiang1_zhao4
肝脑涂地,gan1_nao3_tu2_di4
赶尽杀绝,gan3_jin4_sha1_jue2
感恩戴德,gan3_en1_dai4_de2
感恩图报,gan3_en1_tu2_bao4
感人肺腑,gan3_ren2_fei4_fu3
感同身受,gan3_tong2_shen1_shou4
敢作敢为,gan3_zuo4_gan3_wei2
刚柔相济,gang1_rou2_xiang1_ji4
刚正不阿,gang1_zheng4_bu4_e1
刚愎自用,gang1_bi4_zi4_yong4
纲举目张,gang1_ju3_mu4_zhang1
高不可攀,gao1_bu4_ke3_pan1
高风亮节,gao1_feng1_liang4_jie2
高高在上,gao1_gao1_zai4_shang4
高官厚禄,gao1_guan1_hou4_lu4
高楼大厦,gao1_lou2_da4_sha4
高朋满座,gao1_peng2_man3_zuo4
高深莫测,gao1_shen1_mo4_ce4
高视阔步,gao1_shi4_kuo4_bu4
高抬贵手,gao1_tai2_gui4_shou3
高谈阔论,gao1_tan2_kuo4_lun4
高屋建瓴,gao1_wu1_jian4_ling2
高瞻远瞩,gao1_zhan1_yuan2_zhu3
高枕而卧,gao1_zhen3_er2_wo4
高枕无忧,gao1_zhen3_wu2_you1
膏粱子弟,gao1_liang2_zi3_di4
告老还乡,gao4_lao3_huan2_xiang1
歌功颂德,ge1_gong1_song4_de2
歌舞升平,ge1_wu3_sheng1_ping2
革故鼎新,ge2_gu4_ding3_xin1
格格不入,ge2_ge2_bu2_ru4
格杀勿论,ge2_sha1_wu4_lun4
隔岸观火,ge2_an4_guan1_huo3
隔墙有耳,ge2_qiang2_you2_er3
隔靴搔痒,ge2_xue1_sao1_yang3
各奔前程,ge4_ben1_qian2_cheng2
各持己见,ge4_chi2_ji3_jian4
各得其所,ge4_de2_qi2_suo3
各抒己见,ge4_shu1_ji3_jian4
各司其职,ge4_si1_qi2_zhi2
各行其是,ge4_xing2_qi2_shi4
各有千秋,ge4_you3_qian1_qiu1
各有所长,ge4_you2_suo3_chang2
各有所好,ge4_you2_suo3_hao3
各执一词,ge4_zhi2_yi4_ci2
各自为政,ge4_zi4_wei2_zheng4
根深蒂固,gen1_shen1_di4_gu4
根深叶茂,gen1_shen1_ye4_mao4
更仆难数,geng1_pu2_nan2_shu3
更新换代,geng1_xin1_huan4_dai4
工力悉敌,gong1_li4_xi1_di2
攻城略地,gong1_cheng2_lue4_di4
攻其不备,gong1_qi2_bu2_bei4
攻守同盟,gong1_shou3_tong2_meng2
攻无不克,gong1_wu2_bu2_ke4
功败垂成,gong1_bai4_chui2_cheng2
功成名就,gong1_cheng2_ming2_jiu4
功成名遂,gong1_cheng2_ming2_sui2
功成身退,gong1_cheng2_shen1_tui4
功德无量,gong1_de2_wu2_liang4
功德圆满,gong1_de2_yuan2_man3
功亏一篑,gong1_kui1_yi2_kui4
供不应求,gong4_bu2_ying4_qiu2
公报私仇,gong1_bao4_si1_chou2
公而忘私,gong1_er2_wang4_si1
公事公办,gong1_shi4_gong1_ban4
钩心斗角,gou1_xin1_dou4_jiao3
勾心斗角,gou1_xin1_dou4_jiao3
苟且偷安,gou2_qie3_tou1_an1
苟且偷生,gou2_qie3_tou1_sheng1
苟全性命,gou3_quan2_xing4_ming4
苟延残喘,gou3_yan2_can2_chuan3
狗急跳墙,gou3_ji2_tiao4_qiang2
狗皮膏药,gou3_pi2_gao1_yao5
狗头军师,gou3_tou2_jun1_shi1
狗尾续貂,gou2_wei3_xu4_diao1
狗血喷头,gou3_xue4_pen1_tou2
狗仗人势,gou3_zhang4_ren2_shi4
沽名钓誉,gu1_ming2_diao4_yu4
孤芳自赏,gu1_fang1_zi4_shang3
孤家寡人,gu1_jia1_gua3_ren2
孤军奋战,gu1_jun1_fen4_zhan4
孤苦伶仃,gu1_ku3_ling2_ding1
孤立无援,gu1_li4_wu2_yuan2
孤陋寡闻,gu1_lou4_gua3_wen2
孤行己见,gu1_xing2_ji3_jian4
孤掌难鸣,gu1_zhang3_nan2_ming2
孤注一掷,gu1_zhu4_yi2_zhi4
姑息养奸,gu1_xi1_yang3_jian1
古道热肠,gu3_dao4_re4_chang2
古色古香,gu3_se4_gu3_xiang1
古往今来,gu2_wang3_jin1_lai2
古为今用,gu3_wei2_jin1_yong4
蛊惑人心,gu3_huo4_ren2_xin1
骨肉相连,gu3_rou4_xiang1_lian2
骨瘦如柴,gu3_shou4_ru2_chai2
骨腾肉飞,gu3_teng2_rou4_fei1
故步自封,gu4_bu4_zi4_feng1
故技重演,gu4_ji4_chong2_yan3
故伎重演,gu4_ji4_chong2_yan3
故弄玄虚,gu4_nong4_xuan2_xu1
故作姿态,gu4_zuo4_zi1_tai4
顾此失彼,gu4_ci3_shi1_bi3
顾名思义,gu4_ming2_si1_yi4
顾影自怜,gu4_ying3_zi4_lian2
固步自封,gu4_bu4_zi4_feng1
固若金汤,gu4_ruo4_jin1_tang1
固执己见,gu4_zhi2_ji3_jian4
刮垢磨光,gua1_gou4_mo2_guang1
刮目相待,gua1_mu4_xiang1_dai4
刮目相看,gua1_mu4_xiang1_kan4
瓜剖豆分,gua1_pou1_dou4_fen1
瓜熟蒂落,gua1_shu2_di4_luo4
瓜田李下,gua1_tian2_li3_xia4
寡不敌众,gua3_bu4_di2_zhong4
寡廉鲜耻,gua3_lian2_xian1_chi3
挂一漏万,gua4_yi2_lou4_wan4
拐弯抹角,guai3_wan1_mo4_jiao3
关门大吉,guan1_men2_da4_ji2
官报私仇,guan1_bao4_si1_chou2
官逼民反,guan1_bi1_min2_fan3
官官相护,guan1_guan1_xiang1_hu4
官样文章,guan1_yang4_wen2_zhang1
官运亨通,guan1_yun4_heng1_tong1
冠冕堂皇,guan1_mian3_tang2_huang2
管中窥豹,guan3_zhong1_kui1_bao4
光彩夺目,guang1_cai3_duo2_mu4
光风霁月,guang1_feng1_ji4_yue4
光怪陆离,guang1_guai4_lu4_li2
光辉灿烂,guang1_hui1_can4_lan4
光明磊落,guang1_ming2_lei3_luo4
光明正大,guang1_ming2_zheng4_da4
光前裕后,guang1_qian2_yu4_hou4
光天化日,guang1_tian1_hua4_ri4
光阴似箭,guang1_yin1_si4_jian4
光宗耀祖,guang1_zong1_yao4_zu3
广开才路,guang3_kai1_cai2_lu4
广开言路,guang3_kai1_yan2_lu4
广土众民,guang2_tu3_zhong4_min2
规行矩步,gui1_xing2_ju3_bu4
归根结底,gui1_gen1_jie1_di3
归根结蒂,gui1_gen1_jie2_di4
归心似箭,gui1_xin1_si4_jian4
归真返璞,gui1_zhen1_fan3_pu2
龟鹤延年,gui1_he4_yan2_nian2
龟鹤遐龄,gui1_he4_xia2_ling2
鬼斧神工,gui2_fu3_shen2_gong1
鬼鬼祟祟,gui2_gui3_sui4_sui4
鬼哭狼嚎,gui3_ku1_lang2_hao2
鬼哭神嚎,gui3_ku1_shen2_hao2
鬼迷心窍,gui3_mi2_xin1_qiao4
鬼使神差,gui2_shi3_shen2_chai1
鬼头鬼脑,gui3_tou2_gui2_nao3
鬼蜮伎俩,gui3_yu4_ji4_liang3
诡计多端,gui3_ji4_duo1_duan1
贵耳贱目,gui4_er3_jian4_mu4
滚瓜烂熟,gun3_gua1_lan4_shu2
国富民安,guo2_fu4_min2_an1
国富民强,guo2_fu4_min2_qiang2
国计民生,guo2_ji4_min2_sheng1
国色天香,guo2_se4_tian1_xiang1
国泰民安,guo2_tai4_min2_an1
果不其然,guo3_bu4_qi2_ran2
裹足不前,guo3_zu2_bu4_qian2
过河拆桥,guo4_he2_chai1_qiao2
过目不忘,guo4_mu4_bu2_wang4
过目成诵,guo4_mu4_cheng2_song4
过眼烟云,guo4_yan3_yan1_yun2
过眼云烟,guo4_yan3_yun2_yan1
过犹不及,guo4_you2_bu4_ji2
海底捞月,hai2_di3_lao1_yue4
海底捞针,hai2_di3_lao1_zhen1
海角天涯,hai2_jiao3_tian1_ya2
海枯石烂,hai3_ku1_shi2_lan4
海阔天空,hai3_kuo4_tian1_kong1
海誓山盟,hai3_shi4_shan1_meng2
海市蜃楼,hai3_shi4_shen4_lou2
害群之马,hai4_qun2_zhi1_ma3
骇人听闻,hai4_ren2_ting1_wen2
含垢忍辱,han2_gou4_ren2_ru3
含糊其辞,han2_hu2_qi2_ci2
含糊其词,han2_hu2_qi2_ci2
含混不清,han2_hun2_bu4_qing1
含情脉脉,han2_qing2_mo4_mo4
含沙射影,han2_sha1_she4_ying3
含笑九泉,han2_xiao4_jiu3_quan2
含辛茹苦,han2_xin1_ru2_ku3
含血喷人,han2_xue4_pen1_ren2
含英咀华,han2_ying1_ju3_hua2
含饴弄孙,han2_yi2_nong4_sun1
寒来暑往,han2_lai2_shu2_wang3
喊冤叫屈,han3_yuan1_jiao4_qu1
旱魃为虐,han4_ba2_wei2_nue4
悍然不顾,han4_ran2_bu2_gu4
汗流浃背,han4_liu2_jia1_bei4
汗马功劳,han4_ma3_gong1_lao2
汗牛充栋,han4_niu2_chong1_dong4
汗如雨下,han4_ru2_yu3_xia4
豪放不羁,hao2_fang4_bu4_ji1
豪情壮志,hao2_qing2_zhuang4_zhi4
豪言壮语,hao2_yan2_zhuang4_yu3
毫无二致,hao2_wu2_er4_zhi4
好大喜功,hao4_da4_xi3_gong1
好高骛远,hao4_gao1_wu4_yuan3
好高鹜远,hao4_gao1_wu4_yuan3
好好先生,hao2_hao3_xian1_sheng1
好事多磨,hao3_shi4_duo1_mo2
好为人师,hao4_wei2_ren2_shi1
好逸恶劳,hao4_yi4_wu4_lao2
好整以暇,hao4_zheng2_yi3_xia2
浩气长存,hao4_qi4_chang2_cun2
浩然之气,hao4_ran2_zhi1_qi4
浩如烟海,hao4_ru2_yan1_hai3
和蔼可亲,he2_ai2_ke3_qin1
和风细雨,he2_feng1_xi4_yu3
和光同尘,he2_guang1_tong2_chen2
和盘托出,he2_pan2_tuo1_chu1
和颜悦色,he2_yan2_yue4_se4
和衷共济,he2_zhong1_gong4_ji4
何去何从,he2_qu4_he2_cong2
合而为一,he2_er2_wei2_yi1
合浦还珠,he2_pu3_huan2_zhu1
合情合理,he2_qing2_he2_li3
河清海晏,he2_qing1_hai3_yan4
涸泽而渔,he2_ze2_er2_yu2
涸辙之鲋,he2_zhe2_zhi1_fu4
赫然而怒,he4_ran2_er2_nu4
鹤发鸡皮,he4_fa1_ji1_pi2
鹤发童颜,he4_fa4_tong2_yan2
鹤立鸡群,he4_li4_ji1_qun2
恨入骨髓,hen4_ru4_gu2_sui3
恨之入骨,hen4_zhi1_ru4_gu3
横冲直撞,heng2_chong1_zhi2_zhuang4
横眉怒目,heng2_mei2_nu4_mu4
横七竖八,heng2_qi1_shu4_ba1
横扫千军,heng2_sao3_qian1_jun1
横生枝节,heng2_sheng1_zhi1_jie2
横行霸道,heng2_xing2_ba4_dao4
横征暴敛,heng2_zheng1_bao4_lian3
轰动一时,hong1_dong4_yi4_shi2
哄然大笑,hong1_ran2_da4_xiao4
哄堂大笑,hong1_tang2_da4_xiao4
烘云托月,hong1_yun2_tuo1_yue4
鸿雁传书,hong2_yan4_chuan2_shu1
鸿鹄之志,hong2_hu2_zhi1_zhi4
洪福齐天,hong2_fu2_qi2_tian1
洪水猛兽,hong2_shui2_meng3_shou4
红男绿女,hong2_nan2_lv4_nv3
侯门如海,hou2_men2_ru2_hai3
厚此薄彼,hou4_ci3_bo2_bi3
厚古薄今,hou4_gu3_bo2_jin1
厚今薄古,hou4_jin1_bo2_gu3
厚颜无耻,hou4_yan2_wu2_chi3
后发制人,hou4_fa1_zhi4_ren2
后顾之忧,hou4_gu4_zhi1_you1
后患无穷,hou4_huan4_wu2_qiong2
后悔莫及,hou4_hui3_mo4_ji2
后会有期,hou4_hui4_you3_qi1
后继乏人,hou4_ji4_fa2_ren2
后继无人,hou4_ji4_wu2_ren2
后继有人,hou4_ji4_you3_ren2
后来居上,hou4_lai2_ju1_shang4
后起之秀,hou4_qi3_zhi1_xiu4
后生可畏,hou4_sheng1_ke3_wei4
后台老板,hou4_tai2_lao2_ban3
呼风唤雨,hu1_feng1_huan4_yu3
呼天抢地,hu1_tian1_qiang1_di4
呼吸相通,hu1_xi1_xiang1_tong1
呼之欲出,hu1_zhi1_yu4_chu1
呼幺喝六,hu1_yao1_he4_liu4
忽忽不乐,hu1_hu1_bu2_le4
胡说八道,hu2_shuo1_ba1_dao4
胡思乱想,hu2_si1_luan4_xiang3
胡言乱语,hu2_yan2_luan4_yu3
胡作非为,hu2_zuo4_fei1_wei2
狐假虎威,hu2_jia2_hu3_wei1
狐狸尾巴,hu2_li2_wei3_ba1
狐朋狗友,hu2_peng2_gou2_you3
狐群狗党,hu2_qun2_gou2_dang3
狐死首丘,hu2_si2_shou3_qiu1
狐疑不决,hu2_yi2_bu4_jue2
虎背熊腰,hu3_bei4_xiong2_yao1
虎踞龙盘,hu3_ju4_long2_pan2
虎踞龙蟠,hu3_ju4_long2_pan2
虎口拔牙,hu2_kou3_ba2_ya2
虎口余生,hu2_kou3_yu2_sheng1
虎视眈眈,hu3_shi4_dan1_dan1
虎头虎脑,hu3_tou2_hu2_nao3
虎头蛇尾,hu3_tou2_she2_wei3
互通有无,hu4_tong1_you3_wu2
户枢不蠹,hu4_shu1_bu2_du4
花朝月夕,hua1_zhao2_yue4_xi1
花好月圆,hua1_hao3_yue4_yuan2
花红柳绿,hua1_hong2_liu3_lv4
花花公子,hua1_hua1_gong1_zi3
花花世界,hua1_hua1_shi4_jie4
花街柳巷,hua1_jie1_liu3_xiang4
花明柳暗,hua1_ming2_liu3_an4
花前月下,hua1_qian2_yue4_xia4
花容玉貌,hua1_rong2_yu4_mao4
花天酒地,hua1_tian1_jiu3_di4
花团锦簇,hua1_tuan2_jin3_cu4
花香鸟语,hua1_xiang1_niao2_yu3
花言巧语,hua1_yan2_qiao2_yu3
花枝招展,hua1_zhi1_zhao1_zhan3
哗众取宠,hua2_zhong4_qu2_chong3
华而不实,hua2_er2_bu4_shi2
画饼充饥,hua4_bing3_chong1_ji1
画地为牢,hua4_di4_wei2_lao2
画栋雕梁,hua4_dong4_diao1_liang2
画龙点睛,hua4_long2_dian3_jing1
画蛇添足,hua4_she2_tian1_zu2
画脂镂冰,hua4_zhi1_lou4_bing1
划一不二,hua4_yi4_bu2_er4
化公为私,hua4_gong1_wei2_si1
化为乌有,hua4_wei2_wu1_you3
化险为夷,hua4_xian3_wei2_yi2
化整为零,hua4_zheng3_wei2_ling2
话不投机,hua4_bu4_tou2_ji1
话里有话,hua4_li2_you3_hua4
话中有话,hua4_zhong1_you3_hua4
怀才不遇,huai2_cai2_bu2_yu4
欢蹦乱跳,huan1_beng4_luan4_tiao4
欢聚一堂,huan1_ju4_yi4_tang2
欢天喜地,huan1_tian1_xi3_di4
欢欣鼓舞,huan1_xin1_gu2_wu3
缓兵之计,huan3_bing1_zhi1_ji4
患得患失,huan4_de2_huan4_shi1
患难与共,huan4_nan2_yu2_gong4
患难之交,huan4_nan2_zhi1_jiao1
焕然一新,huan4_ran2_yi4_xin1
涣然冰释,huan4_ran2_bing1_shi4
