# 制作：北京语言大学-汉语国际教育技术研发中心 http://nlp.blcu.edu.cn
"Idiom","Pinyin"
冰冻三尺,bing1_dong4_san1_chi3
冰封雪裹,bing1_feng1_xue2_guo3
冰清玉洁,bing1_qing1_yu4_jie2
冰天雪地,bing1_tian1_xue3_di4
冰消瓦解,bing1_xiao1_wa2_jie3
秉性难移,bing3_xing4_nan2_yi2
病入膏肓,bing4_ru4_gao1_huang1
并驾齐驱,bing4_jia4_qi2_qu1
并日而食,bing4_ri4_er2_shi2
并行不悖,bng1_4_ing2_bu2_bei4
拨乱反正,bo1_luan4_fan3_zheng4
拨云见日,bo1_yun2_jian4_ri4
波澜壮阔,bo1_lan2_zhuang4_kuo4
博采众长,bo2_cai3_zhong4_chang2
博大精深,bo2_da4_jing1_shen1
博古通今,bo2_gu3_tong1_jin1
博闻强记,bo2_wen2_qiang2_ji4
博闻强识,bo2_wen2_qiang2_zhi4
博闻强志,bo2_wen2_qiang2_zhi4
博学多才,bo2_xue2_duo1_cai2
勃然大怒,bo2_ran2_da4_nu4
捕风捉影,bu3_feng1_zhuo1_ying3
补偏救弊,bu3_pian1_jiu4_bi4
补天浴日,bu3_tian1_yu4_ri4
不白之冤,bu4_bai2_zhi1_yuan1
不卑不亢,bu4_bei1_bu2_kang4
不避艰险,bu2_bi4_jian1_xian3
不辨菽麦,bu2_bian4_shu1_mai4
不成体统,bu4_cheng2_ti2_tong3
不耻下问,bu4_chi3_xia4_wen4
不出所料,bu4_chu1_suo3_liao4
不辞而别,bu4_ci2_er2_bie2
不辞劳苦,bu4_ci2_lao2_ku3
不辞辛苦,bu4_ci2_xin1_ku3
不打自招,bu4_da3_zi4_zhao1
不得要领,bu4_de2_yao4_ling3
不动声色,bu2_dong4_sheng1_se4
不乏其人,bu4_fa2_qi2_ren2
不分彼此,bu4_fen1_bi2_ci3
不甘示弱,bu4_gan1_shi4_ruo4
不攻自破,bu4_gong1_zi4_po4
不共戴天,bu2_gong4_dai4_tian1
不寒而栗,bu4_han2_er2_li4
不哼不哈,bu4_heng1_bu4_ha1
不欢而散,bu4_huan1_er2_san4
不即不离,bu4_ji2_bu4_li2
不计其数,bu2_ji4_qi2_shu4
不假思索,bu4_jia3_si1_suo3
不见经传,bu2_jian4_jing1_zhuan4
不骄不躁,bu4_jiao1_bu2_zao4
不教而诛,bu2_jiao4_er2_zhu1
不解之缘,bu4_jie3_zhi1_yuan2
不近人情,bu2_jin4_ren2_qing2
不经之谈,bu4_jing1_zhi1_tan2
不咎既往,bu2_jiu4_ji4_wang3
不拘小节,bu4_ju1_xiao3_jie2
不拘一格,bu4_ju1_yi4_ge2
不绝如缕,bu4_jue2_ru2_lv3
不堪回首,bu4_kan1_hui2_shou3
不堪入耳,bu4_kan1_ru4_er3
不堪入目,bu4_kan1_ru4_mu4
不堪设想,bu4_kan1_she4_xiang3
不堪一击,bu4_kan1_yi4_ji1
不亢不卑,bu2_kang4_bu4_bei1
不可多得,bu4_ke3_duo1_de2
不可救药,bu4_ke3_jiu4_yao4
不可开交,bu4_ke3_kai1_jiao1
不可理喻,bu4_ke2_li3_yu4
不可名状,bu4_ke3_ming2_zhuang4
不可磨灭,bu4_ke3_mo2_mie4
不可偏废,bu4_ke3_pian1_fei4
不可思议,bu4_ke3_si1_yi4
不可向迩,bu4_ke3_xiang4_er3
不可一世,bu4_ke3_yi2_shi4
不可逾越,bu4_ke3_yu2_yue4
不可终日,bu4_ke3_zhong1_ri4
不郎不秀,bu4_lang2_bu2_xiu4
不劳而获,bu4_lao2_er2_huo4
不了了之,bu4_liao2_liao3_zhi1
不露声色,bu2_lu4_sheng1_se4
不伦不类,bu4_lun2_bu2_lei4
不落窠臼,bu2_luo4_ke1_jiu4
不毛之地,bu4_mao2_zhi1_di4
不名一文,bu4_ming2_yi4_wen2
不谋而合,bu4_mou2_er2_he2
不能自拔,bu4_neng2_zi4_ba2
不念旧恶,bu2_nian4_jiu4_e4
不偏不倚,bu4_pian1_bu4_yi3
不平则鸣,bu4_ping2_ze2_ming2
不期而遇,bu4_qi1_er2_yu4
不情之请,bu4_qing2_zhi1_qing3
不求甚解,bu4_qiu2_shen4_jie3
不屈不挠,bu4_qu1_bu4_nao2
不容置疑,bu4_rong2_zhi4_yi2
不辱使命,bu4_ru2_shi3_ming4
不三不四,bu4_san1_bu2_si4
不甚了了,bu4_shen2_liao2_liao3
不省人事,bu4_xing3_ren2_shi4
不胜枚举,bu2_sheng4_mei2_ju3
不识时务,bu4_shi2_shi2_wu4
不识抬举,bu4_shi2_tai2_ju5
不速之客,bu2_su4_zhi1_ke4
不同凡响,bu4_tong2_fan2_xiang3
不为已甚,bu4_wei2_yi3_shen4
不畏强暴,bu2_wei4_qiang2_bao4
不务正业,bu2_wu4_zheng4_ye4
不相上下,bu4_xiang1_shang4_xia4
不祥之兆,bu4_xiang2_zhi1_zhao4
不肖子孙,bu2_xiao4_zi3_sun1
不屑一顾,bu2_xie4_yi2_gu4
不修边幅,bu4_xiu1_bian1_fu2
不学无术,bu4_xue2_wu2_shu4
不言而喻,bu4_yan2_er2_yu4
不厌其烦,bu2_yan4_qi2_fan2
不厌其详,bu2_yan4_qi2_xiang2
不一而足,bu4_yi4_er2_zu2
不遗余力,bu4_yi2_yu2_li4
不以为然,bu4_yi3_wei2_ran2
不易之论,bu2_yi4_zhi1_lun4
不亦乐乎,bu2_yi4_le4_hu1
不义之财,bu2_yi4_zhi1_cai2
不翼而飞,bu2_yi4_er2_fei1
不由分说,bu4_you2_fen1_shuo1
不由自主,bu4_you2_zi4_zhu3
不约而同,bu4_yue1_er2_tong2
不在话下,bu2_zai4_hua4_xia4
不择手段,bu4_ze2_shou3_duan4
不折不挠,bu4_zhe2_bu4_nao2
不知凡几,bu4_zhi1_fan2_ji3
不知进退,bu4_zhi1_jin4_tui4
不知死活,bu4_zhi1_si3_huo2
不知所措,bu4_zhi1_suo3_cuo4
不知所云,bu4_zhi1_suo3_yun2
不知所终,bu4_zhi1_suo3_zhong1
不置可否,bu2_zhi4_ke2_fou3
不着边际,bu4_zhuo2_bian1_ji4
不自量力,bu2_zi4_liang4_li4
不足挂齿,bu4_zu2_gua4_chi3
不足为凭,bu4_zu2_wei2_ping2
不足为奇,bu4_zu2_wei2_qi2
不足为训,bu4_zu2_wei2_xun4
不徇私情,bu2_xun4_si1_qing2
不胫而走,bu2_jing4_er2_zou3
不祧之祖,bu4_tiao1_zhi1_zu3
布鼓雷门,bu4_gu3_lei2_men2
步步为营,bu4_bu4_wei2_ying2
步履维艰,bu4_lv3_wei2_jian1
步人后尘,bu4_ren2_hou4_chen2
擦脂抹粉,ca1_zhi1_mo2_fen3
才华横溢,cai2_hua2_heng2_yi4
才疏学浅,cai2_shu1_xue2_qian3
餐风宿露,can1_feng1_su4_lu4
残编断简,can2_bian1_duan4_jian3
残兵败将,can2_bing1_bai4_jiang4
残篇断简,can2_pian1_duan4_jian3
残渣余孽,can2_zha1_yu2_nie4
惨不忍睹,can3_bu4_ren2_du3
惨淡经营,can3_dan4_jing1_ying2
惨绝人寰,can3_jue2_ren2_huan2
惨无人道,can3_wu2_ren2_dao4
沧海横流,cang1_hai3_heng2_liu2
沧海桑田,cang1_hai3_sang1_tian2
沧海一粟,cang1_hai3_yi2_su4
藏垢纳污,cang2_gou4_na4_wu1
藏龙卧虎,cang2_long2_wo4_hu3
藏头露尾,cang2_tou2_lu4_wei3
操之过急,cao1_zhi1_guo4_ji2
草木皆兵,cao3_mu4_jie1_bing1
草菅人命,cao3_jian1_ren2_ming4
侧目而视,ce4_mu4_er2_shi4
层出不穷,ceng2_chu1_bu4_qiong2
层见叠出,ceng2_jian4_die2_chu1
层峦迭嶂,ceng2_luan2_die2_zhang4
插翅难飞,cha1_chi4_nan2_fei1
插翅难逃,cha1_chi4_nan2_tao2
插科打诨,cha1_ke1_da3_hun4
茶余饭后,cha2_yu2_fan4_hou4
茶余酒后,cha2_yu2_jiu3_hou4
搽脂抹粉,cha2_zhi1_mo2_fen3
察察为明,cha2_cha2_wei2_ming2
察言观色,cha2_yan2_guan1_se4
差强人意,cha1_qiang2_ren2_yi4
柴米油盐,chai2_mi3_you2_yan2
豺狼成性,chai2_lang2_cheng2_xing4
豺狼当道,chai2_lang2_dang1_dao4
尝鼎一脔,chang2_ding3_yi4_luan2
常备不懈,chang2_bei4_bu2_xie4
长此以往,chang2_ci2_yi3_wang3
长歌当哭,chang2_ge1_dang1_ku1
长年累月,chang2_nian2_lei3_yue4
