# 来源：本词表来自BCC语料库汉语部分的报刊（news）频道。
# 说明：未去除字母词。存在部分数量词残留。
# 制作：北京语言大学・信息科学学院・大数据与教育技术研究所 2015年10月
# 引用：北京语言大学BCC语料库 http://bcc.blcu.edu.cn
# 吾匣：截取频数大于等于200的数据
"词","排名","频次"
以后,374,559087
达到,375,556288
安全,376,556222
结合,377,555222
老,378,554335
科技,379,552717
事,380,551123
带,381,549235
看到,382,548829
一起,383,543869
无,384,543474
认识,385,542649
村,386,542120
委员会,387,540015
了解,388,538347
最近,389,538171
主席,390,536181
具有,391,536174
充分,392,535569
便,393,535128
机关,394,534294
受到,395,531173
部分,396,531008
准备,397,529738
路,398,527916
正,399,523906
局,400,522937
户,401,522639
台湾,402,522305
中央,403,521814
杭州,404,520517
件,405,516941
科学,406,516889
重点,407,516762
报告,408,515422
台,409,515066
经,410,514247
机,411,512808
环境,412,512720
价格,413,510855
呢,414,510184
共同,415,509958
不同,416,508885
受,417,508106
民主,418,507548
促进,419,505707
深入,420,505095
处,421,503142
总,422,501406
机构,423,500172
召开,424,499847
不仅,425,499606
吃,426,499356
处理,427,498802
找,428,494816
这里,429,493913
社员,430,493562
钱,431,493303
结果,432,490699
没,433,489765
即,434,489414
发挥,435,489281
之间,436,488407
站,437,488264
最后,438,487999
各级,439,486570
头,440,485844
行动,441,484995
个人,442,484026
坚决,443,482564
组,444,482341
介绍,445,481424
各地,446,480395
存在,447,476163
写,448,474519
孩子,449,473689
全部,450,469492
贯彻,451,468567
意见,452,466885
进,453,465390
包括,454,462751
消息,455,462564
进入,456,461936
接,457,461431
社,458,461197
不少,459,458926
扩大,460,457633
解放,461,457139
近,462,457130
－,463,456784
十分,464,456396
形成,465,455947
能力,466,453139
分别,467,450088
粮食,468,449949
斤,469,449295
讲,470,448559
未,471,447455
道路,472,446814
联系,473,446202
军,474,445665
买,475,445012
实施,476,444664
任何,477,444015
调整,478,443366
下午,479,443309
能够,480,442343
随,481,440433
集体,482,440295
比较,483,440135
全省,484,438816
连,485,438709
成立,486,438399
方,487,436776
完全,488,435357
祖国,489,434290
造成,490,433194
虽然,491,433003
联合,492,432891
成绩,493,432880
像,494,429256
图,495,429095
有些,496,428752
话,497,428610
接受,498,428196
成功,499,426829
国,500,426643
理论,501,425753
方法,502,425237
建议,503,423944
收入,504,423891
业务,505,423764
调查,506,423759
讨论,507,423294
均,508,422589
改造,509,422202
重大,510,422040
利益,511,421548
山,512,421100
朝鲜,513,419576
仅,514,417622
才能,515,416345
战争,516,416331
期间,517,414772
吨,518,414743
两国,519,414063
大队,520,413779
正确,521,413527
所有,522,413502
具体,523,412841
之后,524,411841
按照,525,410808
请,526,410491
间,527,408312
目标,528,408030
负责,529,407240
仍,530,407116
一直,531,406587
系统,532,406556
过程,533,406175
表现,534,405774
见,535,405403
越南,536,404090
片,537,404009
抓,538,402834
香港,539,401719
商品,540,401512
非常,541,401201
并且,542,401115
电话,543,400956
保护,544,400955
一般,545,399573
发表,546,399349
线,547,398993
级,548,395957
注意,549,395541
所以,550,395000
国内,551,394634
汽车,552,394182
敌人,553,394000
方式,554,393615
原则,555,393425
标准,556,391691
美元,557,391304
旅游,558,390721
住,559,390667
海,560,390557
毛泽东思想,561,390031
反,562,389888
落实,563,389741
太,564,389534
及时,565,389208
部队,566,388956
专家,567,388644
甚至,568,388032
更加,569,386483
问,570,386424
盘,571,386152
法律,572,386119
派,573,385633
入,574,385418
放,575,385296
原因,576,384757
上午,577,384457
叫,578,384230
书,579,384119
面,580,383442
设备,581,383417
此,582,381485
越,583,381235
出来,584,381224
中国人民,585,378718
左右,586,378561
最大,587,378098
发,588,377793
张,589,376695
创造,590,374999
少,591,374686
强,592,374678
家庭,593,374508
干,594,374122
战斗,595,374052
结束,596,372224
特别是,597,371634
书记,598,370678
保持,599,370042
内容,600,369979
交,601,369763
周,602,369289
如何,603,369215
首先,604,368878
设计,605,368375
欢迎,606,367773
行为,607,367764
传统,608,366788
党委,609,366257
销售,610,365668
现象,611,365604
很大,612,365028
意义,613,364592
公社,614,364486
交通,615,364138
一样,616,362138
谁,617,360945
专业,618,359957
资产阶级,619,359627
军事,620,359021
低,621,358836
居民,622,358519
小组,623,357731
双方,624,356906
到了,625,356775
党员,626,356660
总统,627,355860
送,628,355553
安排,629,355456
健康,630,354666
心,631,354105
重视,632,353537
医院,633,352569
直接,634,351942
产业,635,351909
昨天,636,351833
集团,637,350801
形势,638,350393
回,639,350256
只要,640,349872
集中,641,349320
小时,642,349158
产生,643,348911
底,644,348611
当时,645,348245
当地,646,348011
女,647,347824
投入,648,347775
卫生,649,347031
口,650,347027
土地,651,346928
长期,652,346916
反映,653,346010
超过,654,345829
稳定,655,345791
真正,656,344646
信息,657,344244
当前,658,343786
听,659,343181
应当,660,342854
指导,661,342814
资源,662,342550
乡,663,342547
大量,664,342366
监督,665,342240
妇女,666,341963
经常,667,340930
面积,668,340552
破坏,669,340403
你们,670,340116
各项,671,339908
花,672,339133
约,673,338811
实践,674,338532
迅速,675,338474
行政,676,337983
道,677,337426
不会,678,337216
立即,679,336142
争取,680,333310
特别,681,333077
快,682,332940
支,683,332786
很多,684,331168
供应,685,330570
知道,686,330265
今后,687,330170
改变,688,329125
发动,689,329085
一批,690,328324
类,691,328313
另,692,327867
规划,693,327845
责任,694,327194
阶级,695,326606
既,696,326379
全体,697,325730
国务院,698,325497
届,699,325451
强调,700,325106
非,701,324662
较,702,324356
引起,703,323620
委,704,322813
原,705,322471
原来,706,322410
建,707,321718
人才,708,321592
分析,709,321249
代表团,710,321243
门,711,320058
行业,712,319978
根本,713,318763
转,714,318670
贡献,715,318459
热烈,716,318015
之一,717,317731
形式,718,317666
错误,719,317331
全市,720,317314
各国,721,317073
城,722,317062
座,723,316366
几个,724,316215
平均,725,314436
帝国主义,726,314339
负责人,727,313981
队伍,728,313512
有效,729,312616
边,730,312497
先,731,311806
或者,732,311615
感到,733,311202
重,734,310961
收,735,310579
良好,736,310219
来自,737,310133
整个,738,309805
加快,739,309545
总理,740,309232
教师,741,308801
倍,742,308325
每天,743,307275
建筑,744,307131
综合,745,306319
双,746,305965
字,747,305901
块,748,305885
委员,749,305854
身,750,305131
艺术,751,304519
称,752,303352
驻,753,303236
联合国,754,303026
吗,755,302777
真,756,302760
英国,757,302624
知识,758,302340
时期,759,301943
除,760,301457
资本主义,761,301412
方针,762,301307
班,763,300713
范围,764,300642
结构,765,300332
逐步,766,299113
培养,767,298927
红,768,298673
变化,769,298618
告诉,770,298245
推动,771,298191
改善,772,298081
讲话,773,297890
网,774,297478
不要,775,296959
声明,776,295991
控制,777,295966
正式,778,295196
明显,779,295060
举办,780,294565
那么,781,294424
友好,782,293871
金,783,293854
优势,784,293224
减少,785,293110
房,786,292465
团,787,291747
管,788,291572
先后,789,290917
明确,790,290370
共和国,791,289888
选择,792,288846
行,793,288393
恢复,794,287551
访问,795,286667
声,796,286390
宣布,797,286307
套,798,285852
合理,799,285707
增强,800,285661
组成,801,285627
那些,802,285259
自然,803,285205
银行,804,285064
更多,805,285027
象,806,284870
证明,807,284526
数,808,283337
维护,809,283149
大力,810,282600
巨大,811,281682
楼,812,281614
有人,813,281495
每年,814,281378
最高,815,281206
人士,816,281191
田,817,280907
带来,818,280262
统计,819,280005
一致,820,279108
深,821,279078
说明,822,278902
爱,823,278580
改,824,277654
靠,825,277589
巩固,826,277367
普遍,827,277132
广泛,828,277083
军队,829,276714
来到,830,276424
消费者,831,276318
事件,832,276066
机会,833,275852
现,834,275389
工厂,835,274795
基地,836,274757
战略,837,273560
总结,838,273505
指示,839,273286
现场,840,273187
只是,841,272717
早,842,272328
终于,843,272173
信,844,272127
交流,845,271486
于是,846,271002
战士,847,270773
贵州,848,270562
美帝国主义,849,270273
相,850,269203
彻底,851,269094
东西,852,268766
产量,853,268667
新闻,854,268494
案,855,267960
加,856,267813
严格,857,267418
商业,858,266932
规模,859,266380
文,860,266159
商,861,265873
搞好,862,264844
推广,863,264299
培训,864,264251
制,865,264070
治疗,866,263154
儿童,867,262951
批,868,262902
生,869,262850
出席,870,262798
采用,871,262454
辆,872,260885
作品,873,260312
高度,874,260220
目的,875,260068
除了,876,260036
度,877,259816
推进,878,259748
独立,879,259580
越来越,880,259340
公里,881,258910
现代化,882,258282
矛盾,883,257675
侵略,884,257444
材料,885,256832
华,886,256690
权,887,256457
某,888,256324
镇,889,255981
昨日,890,255938
是否,891,255863
事实,892,254109
掌握,893,253999
卡,894,253435
态度,895,253395
制定,896,253340
贸易,897,253271
拉,898,253242
出口,899,252768
来说,900,252560
贷款,901,252497
中华人民共和国,902,251574
现代,903,251521
晚上,904,250585
协议,905,250358
法国,906,250159
证,907,249925
设施,908,249864
晚,909,249430
不到,910,249327
旧,911,249298
武装,912,248959
可是,913,248907
飞机,914,248759
保障,915,248224
制造,916,248108
品种,917,247754
校,918,247461
运输,919,247199
工,920,247078
生产队,921,246736
半,922,246503
分子,923,246203
活,924,245976
还要,925,245884
以前,926,245795
店,927,245751
拿,928,245743
关键,929,245624
成员,930,244606
合同,931,243366
完善,932,243358
不过,933,242988
而是,934,242929
仍然,935,242444
批准,936,242040
方向,937,241970
关心,938,241931
成果,939,241929
决心,940,241800
加工,941,241604
文明,942,241603
代,943,240821
竞争,944,240459
犯罪,945,240358
病,946,240124
无法,947,240092
文艺,948,239414
它们,949,238406
西,950,238168
附近,951,238088
给予,952,237937
然而,953,237602
主任,954,237377
丰富,955,237085
老人,956,236982
朋友,957,236743
电影,958,235763
进步,959,235062
程度,960,234965
世纪,961,234930
更好,962,234829
初,963,234707
印度,964,233769
价值,965,233244
热情,966,232802
考虑,967,232788
体育,968,232670
当然,969,232578
武器,970,232346
特点,971,232150
只能,972,231751
确定,973,231480
连续,974,231376
训练,975,231268
先生,976,230468
风,977,230416
者,978,230171
上市,979,229919
您,980,229876
突出,981,229816
已有,982,229494
亚洲,983,229447
吧,984,229426
南,985,229317
正常,986,229226
登记,987,229080
优秀,988,228907
及其,989,228563
纷纷,990,227674
近日,991,227355
打击,992,227308
平方米,993,227086
事情,994,226924
著名,995,226771
所谓,996,226678
市民,997,226414
损失,998,226378
展开,999,226245
运,1000,226167
参与,1001,226095
从而,1002,225872
配合,1003,225747
共产党,1004,225410
段,1005,225326
食品,1006,225054
跟,1007,225038
依法,1008,224656
卖,1009,224592
效果,1010,224464
开放,1011,223975
阶段,1012,222854
购买,1013,222642
以下,1014,222574
协会,1015,222506
领袖,1016,221942
办理,1017,221819
主动,1018,221790
改进,1019,221759
讯,1020,221645
车间,1021,221485
土,1022,221420
关注,1023,221358
支援,1024,221315
教学,1025,221017
体制,1026,220685
获,1027,220626
演出,1028,220581
领域,1029,220376
重新,1030,220024
石,1031,219955
