# https://github.com/mahavivo/scripta-sinica
# 汉语古典文本数据库（殆知阁）
"汉字","排名","频次"
体,413,504489
断,414,503681
弟,415,502742
侍,416,500210
郎,417,499806
根,418,498079
转,419,496632
业,420,496400
动,421,493521
识,422,492720
参,423,491770
建,424,491559
华,425,491419
干,426,489369
再,427,485928
莫,428,485491
焉,429,483293
满,430,481561
边,431,480820
刘,432,480054
省,433,479585
持,434,479578
仁,435,479451
精,436,477997
改,437,477330
為,438,476714
喜,439,476684
指,440,476651
旧,441,475111
福,442,474550
药,443,472461
音,444,472284
记,445,471600
照,446,470024
望,447,468488
升,448,468078
许,449,467215
血,450,465648
注,451,463907
对,452,462920
除,453,462468
乘,454,461552
才,455,459964
孙,456,458100
游,457,456780
犹,458,456589
几,459,456354
遣,460,454750
银,461,452791
田,462,452161
益,463,452049
终,464,451791
全,465,450724
汤,466,449901
反,467,448241
盖,468,447258
留,469,445505
宋,470,444151
督,471,442705
句,472,441886
形,473,441686
微,474,440536
员,475,438920
交,476,438701
岂,477,438261
末,478,437339
藏,479,435382
唐,480,433804
共,481,433160
置,482,431468
贤,483,430610
齐,484,430237
伤,485,429770
敢,486,429610
关,487,429074
告,488,428511
独,489,426837
计,490,426756
诏,491,425546
痛,492,423337
封,493,420858
吴,494,418697
户,495,418593
郡,496,416935
甲,497,416720
降,498,416496
雨,499,415733
破,500,415663
觉,501,415360
侯,502,413894
波,503,412874
极,504,412643
抚,505,411357
被,506,409377
永,507,408958
宁,508,408531
量,509,407984
想,510,407962
己,511,407401
卫,512,405934
连,513,404945
答,514,404074
变,515,403150
给,516,403069
眼,517,401685
结,518,400597
布,519,398295
调,520,397955
似,521,397705
施,522,396603
差,523,396128
补,524,395943
保,525,395558
曾,526,395380
营,527,395124
吏,528,395062
送,529,393435
代,530,391698
夏,531,391055
師,532,390092
贵,533,389309
严,534,389147
收,535,389040
卒,536,388355
灭,537,388090
养,538,387733
宣,539,385380
释,540,383397
据,541,383215
愿,542,382920
表,543,382153
戒,544,380343
谕,545,379627
备,546,378121
忠,547,377112
固,548,376987
饮,549,376609
客,550,376401
疏,551,375499
察,552,375037
丘,553,374479
图,554,373476
承,555,372474
旨,556,372439
落,557,371171
系,558,370360
仍,559,370328
摩,560,368443
邪,561,367241
走,562,366195
恩,563,365450
陵,564,364349
犯,565,363540
寺,566,363229
设,567,362614
沙,568,362409
该,569,362355
卿,570,360794
妙,571,360477
急,572,359893
临,573,359254
脉,574,359117
领,575,359048
哉,576,358136
孝,577,357938
顺,578,357469
乱,579,356888
丁,580,356585
良,581,354409
伏,582,350560
带,583,350395
拜,584,347605
爱,585,347289
仙,586,346203
尝,587,346158
运,588,346135
川,589,346124
杨,590,345668
笑,591,345660
工,592,345371
录,593,344693
悉,594,344621
院,595,344374
存,596,344190
甘,597,344080
绝,598,343767
待,599,343685
号,600,343256
伯,601,343173
么,602,342895
殿,603,342807
姓,604,342586
兼,605,341447
执,606,340617
类,607,340067
战,608,339908
证,609,339891
景,610,338736
却,611,338558
疑,612,337967
妇,613,337273
容,614,337076
盛,615,336664
镇,616,336162
监,617,335038
放,618,334257
细,619,333900
办,620,333685
遇,621,332851
品,622,331506
退,623,330749
皮,624,330452
轻,625,328627
飞,626,328070
达,627,326832
湖,628,326429
管,629,325580
示,630,324785
赐,631,324686
叶,632,324224
胡,633,324155
授,634,323683
考,635,323406
造,636,322362
职,637,321304
把,638,321182
敬,639,321154
徒,640,320728
妻,641,320367
恐,642,320166
朱,643,320062
乡,644,319962
丹,645,319831
耶,646,317972
味,647,317655
脱,648,316967
案,649,316714
载,650,316243
例,651,315954
免,652,315183
星,653,313337
玄,654,313050
车,655,312898
务,656,312596
灵,657,312540
兄,658,312091
息,659,311591
亡,660,309437
济,661,309406
密,662,309183
竟,663,307796
晋,664,307120
增,665,306353
秦,666,305264
历,667,304943
赵,668,304770
寿,669,302719
登,670,301092
疾,671,301038
视,672,300938
商,673,299941
打,674,299389
辞,675,298986
嘉,676,298907
室,677,298541
温,678,297440
克,679,296703
境,680,296138
特,681,295686
征,682,295009
斯,683,294657
谷,684,293674
船,685,291768
最,686,289960
统,687,289689
