# 以[知乎](https://www.zhihu.com/)回答爲語料，總字數爲六億字，剔除非《通用規範漢字表》中的漢字後，統計字頻結果，並按照頻數降序排列。
# 本字頻表反映了簡體中文社區公衆用語習慣。有以下三個主要特點：一、其具有非官方性質，宣傳用語較少，貼近普通人生活。二、其具有社交性質，社交用語較多，貼近社交媒體生活。三、其語料質量較高，語言偏書面，且反映了一定的科學、文化、藝術基礎。
# 制作：https://github.com/forfudan/chinese-characters-frequency
"汉字","频次","频率","累计频率"
中,1890003,0.0038921458684498546,0.31626875757517986
对,1858516,0.0038273036449402195,0.3200960612201201
得,1843323,0.0037960161960952396,0.32389207741621534
后,1839617,0.0037883843073688857,0.3276804617235842
过,1786093,0.003678160558801868,0.3313586222823861
们,1778116,0.0036617332581083636,0.3350203555404945
那,1748111,0.0035999429663560027,0.3386202985068505
生,1688347,0.0034768689788109894,0.3420971674856615
国,1672154,0.003443522196796459,0.34554068968245794
出,1629530,0.0033557451797775408,0.3488964348622355
下,1620745,0.00333765393788304,0.3522340888001185
然,1582793,0.003259498125432262,0.3554935869255508
家,1520836,0.0031319080202464244,0.3586254949457972
年,1514514,0.0031188889159485264,0.36174438386174573
如,1494400,0.003077467488576189,0.3648218513503219
小,1453425,0.0029930863119538593,0.3678149376622758
问,1440164,0.0029657774947924507,0.37078071515706823
想,1439226,0.0029638458402794126,0.37374456099734765
本,1417961,0.002920054120428922,0.3766646151177766
但,1394613,0.0028719728095862583,0.37953658792736283
而,1358276,0.0027971428202043036,0.38233373074756716
用,1356481,0.0027934463171649607,0.3851271770647321
最,1337701,0.0027547720402408033,0.3878819491049729
去,1337547,0.0027544549029326925,0.3906364040079056
于,1316988,0.0027121170722999048,0.3933485210802055
所,1306998,0.002691544333936096,0.3960400654141416
实,1299571,0.0026762496664858447,0.39871631508062744
子,1296533,0.0026699934123167505,0.4013863084929442
己,1284362,0.002644929268310152,0.4040312377612544
现,1270098,0.0026155549399796843,0.40664679270123405
天,1265487,0.0026060593547348873,0.40925285205596895
里,1238051,0.0025495594898951013,0.41180241154586406
之,1236622,0.0025466167027958135,0.4143490282486599
什,1228372,0.0025296272041470226,0.4168786554528069
发,1220450,0.002513313166777844,0.4193919686195847
经,1219164,0.0025106648643218018,0.4219026334839065
只,1212525,0.0024969929514091567,0.42439962643531565
分,1207825,0.0024873140855122696,0.42688694052082793
比,1195120,0.002461150257593131,0.42934809077842107
其,1150515,0.0023692937015653334,0.4317173844799864
前,1147284,0.0023626399960945156,0.43408002447608096
面,1142974,0.0023537642701337534,0.4364337887462147
当,1137770,0.0023430475003194126,0.43877683624653413
开,1124168,0.0023150364505471876,0.44109187269708133
主,1123676,0.0023140232586277686,0.4434058959557091
因,1115140,0.0022964447906924862,0.4457023407464016
成,1112840,0.00229170832440252,0.4479940490708041
种,1087486,0.002239495991221738,0.45023354506202584
作,1086340,0.002237135995409433,0.45247068105743526
地,1082628,0.002229491750684062,0.4547001728081193
方,1082220,0.0022286515427508854,0.4569288243508702
心,1052757,0.0021679774095764207,0.4590968017604466
点,1036364,0.00213421876092798,0.46123102052137455
觉,1021478,0.002103563527366052,0.4633345840487406
做,1012317,0.0020846979761998006,0.46541928202494043
些,1010282,0.002080507233199765,0.4674997892581402
真,1003504,0.0020665490729765523,0.4695663383311167
果,997118,0.0020533981713558034,0.4716197365024725
着,990347,0.002039454426464777,0.4736591909289373
高,987300,0.002033179638297157,0.47569237056723446
回,958027,0.0019728967784249066,0.47766526734565934
答,956582,0.001969921041994906,0.47963518838765423
无,949881,0.0019561214504257487,0.48159130983807996
知,949167,0.0019546510865426896,0.48354596092462265
事,944850,0.0019457609452497404,0.4854917218698724
