# 来源：本词表来自BCC语料库汉语部分的博客（blog）频道。
# 说明：未去除字母词。存在部分数量词残留。
# 制作：北京语言大学・信息科学学院・大数据与教育技术研究所 2015年10月
# 引用：北京语言大学BCC语料库 http://bcc.blcu.edu.cn
# 吾匣：截取频数大于等于200的数据
"Word","Rank","Count"
跟,377,2535319
随,378,2530500
报告,379,2527339
均,380,2526195
基本,381,2524851
以来,382,2520200
约,383,2515720
地方,384,2513842
经过,385,2510794
显示,386,2510149
局,387,2509961
水,388,2507165
级,389,2505370
不断,390,2492788
那么,391,2486454
超过,392,2479360
调整,393,2477267
超,394,2468423
成功,395,2461129
或者,396,2454521
之间,397,2451561
本报讯,398,2445201
达,399,2441795
下午,400,2437990
话,401,2436909
讯,402,2435133
具有,403,2435094
造成,404,2432454
进一步,405,2428190
近,406,2427365
经营,407,2425607
机会,408,2393530
电话,409,2388714
来说,410,2386900
线,411,2365418
无,412,2353787
―,413,2350451
行为,414,2347315
图,415,2346725
建立,416,2346246
入,417,2336410
台,418,2323665
到了,419,2322159
加强,420,2319469
张,421,2319397
此,422,2315913
只是,423,2315607
正,424,2313064
知道,425,2311308
更多,426,2309827
这次,427,2304082
医院,428,2291925
案,429,2281632
制度,431,2271217
任何,432,2263547
领导,433,2256116
最终,434,2242360
按照,435,2235305
仅,436,2233776
信,437,2225666
内容,438,2220897
交,439,2218574
目标,440,2213869
结束,441,2213571
资源,442,2204083
另外,443,2199957
收入,445,2195967
仍,446,2192147
小时,447,2188858
新闻,448,2187469
非,449,2187029
消费者,450,2185791
来自,451,2183345
直接,453,2179611
香港,454,2179040
吨,455,2173830
金,456,2167053
一样,457,2160541
资产,458,2160369
重点,459,2157240
未来,460,2154118
是否,461,2153836
站,462,2152853
历史,463,2149669
法律,464,2144463
正式,465,2138443
连,466,2135653
分别,467,2133943
进,468,2133251
专业,469,2133147
形成,470,2120344
全球,471,2115487
度,472,2112727
取得,473,2112511
准备,474,2105268
加,475,2105051
股东,476,2100948
行,477,2098873
住,478,2098382
海,479,2096187
如何,480,2088109
冠军,481,2087854
采用,482,2086079
斯,483,2084921
其实,484,2081500
期间,487,2077944
人们,488,2073051
组,489,2063242
吗,490,2056942
全,491,2048354
真,492,2047179
起来,493,2045417
心,494,2044488
上午,495,2035511
控制,496,2031251
不少,497,2030445
关于,498,2027573
当地,499,2025614
投资者,500,2023515
保护,501,2014927
问,502,2013648
采访,503,2012083
集团,504,2010570
风险,505,2008650
这里,506,2008322
游戏,507,2008248
吃,508,2003397
分析,509,2000991
考虑,510,2000878
条件,511,1996749
全部,512,1995651
经,513,1994451
赛,514,1993190
处理,515,1992273
按,516,1989778
全面,517,1988690
拥有,518,1988308
责任,519,1985438
城,520,1982939
