"字","繁体"
绢,絹
卷,捲
诀,訣
绝,絕
觉,覺 覚
镢,钁
军,軍
钧,鈞
骏,駿
开,開
凯,凱
忾,愾
铐,銬
颗,顆
轲,軻
壳,殼
课,課
克,剋
垦,墾
恳,懇
铿,鏗
抠,摳
库,庫
绔,絝
裤,褲
夸,誇
块,塊
哙,噲
脍,膾
宽,寬
诓,誆
诳,誑
圹,壙
旷,曠
矿,礦
亏,虧
岿,巋
窥,窺
馈,饋
匮,匱
溃,潰
捆,捆
困,睏
扩,擴
阔,闊
腊,臘
蜡,蠟
来,來
徕,徠
睐,睞
赖,賴
籁,籟
濑,瀬
兰,蘭
岚,嵐
拦,攔
栏,欄
澜,瀾
斓,斕
褴,襤
篮,籃
蓝,藍
懒,懶
览,覽
揽,攬
缆,纜
榄,欖
滥,濫
烂,爛
捞,撈
劳,勞
唠,嘮
崂,嶗
痨,癆
涝,澇
乐,樂
累,纍
垒,壘
泪,淚
类,類
鹂,鸝
离,離
篱,籬
礼,禮
里,裏
鲤,鯉
逦,邐
历,歷 曆
丽,麗
励,勵
沥,瀝
隶,隸
俪,儷
砺,礪
砾,礫
蛎,蠣
雳,靂
俩,倆
连,連
怜,憐
帘,簾
莲,蓮
涟,漣
联,聯
裢,褳
镰,鐮
敛,斂
脸,臉
练,練
炼,煉
恋,戀
殓,殮
链,鏈
粮,糧
两,兩 両
谅,諒
辆,輛
靓,靚
辽,遼
疗,療
缭,繚
了,瞭
镣,鐐
猎,獵
邻,鄰
临,臨
鳞,鱗
躏,躪
灵,靈
铃,鈴
龄,齡
绫,綾
岭,嶺
领,領
刘,劉
浏,瀏
绺,綹
龙,龍
茏,蘢
咙,嚨
珑,瓏
胧,朧
聋,聾
笼,籠
拢,攏
垄,壟
娄,婁
偻,僂
楼,樓
髅,髏
搂,摟
噜,嚕
卢,盧
芦,蘆
庐,廬
垆,壚
炉,爐
轳,轤
颅,顱
鲈,鱸
虏,虜
掳,擄
卤,鹵 滷
鲁,魯
陆,陸
录,錄
赂,賂
辘,轆
鹭,鷺
驴,驢
闾,閭
铝,鋁
屡,屢
缕,縷
绿,綠
虑,慮
滤,濾
峦,巒
孪,孿
銮,鑾
乱,亂
抡,掄
仑,侖
沦,淪
伦,倫
囵,圇
轮,輪
论,論
罗,羅
萝,蘿
逻,邏
猡,玀
箩,籮
骡,騾
骆,駱
络,絡
呒,嘸
妈,媽
马,馬
玛,瑪
码,碼
蚂,螞
骂,罵
吗,嗎
买,買
迈,邁
麦,麥
卖,賣
脉,脈
蛮,蠻
瞒,瞞
鳗,鰻
螨,蟎
满,滿
谩,謾
猫,貓
锚,錨
铆,鉚
