Dataset,Label,Address,Longitude,Latitude,StartTime,EndTime,Comments
古埃及年表,中王国-第12王朝-阿门内姆哈特二世(Amenemhet II (Nubkaure)),,,,公元前1875,公元前1840,
古埃及年表,中王国-第12王朝-森乌塞特二世(Senwosret II (Khakheperre ),,,,公元前1842,公元前1836,
古埃及年表,中王国-第12王朝-森乌塞特三世(Senwosret III (Khakaure)),,,,公元前1836,公元前1817,
古埃及年表,中王国-第12王朝-阿门内姆哈特三世(Amenemhet III (Nimaatre)),,,,公元前1817,公元前1772,底比斯（卢克索（Luxor））
古埃及年表,中王国-第12王朝-阿门内姆哈特四世(Amenemhet IV (Maakherure)),,,,公元前1772,公元前1763,
古埃及年表,中王国-第12王朝-塞布科尼夫露王后(Neferusobek (Sobekkare)),,,,公元前1763,公元前1759,
古埃及年表,中王国-第13王朝-,,,,公元前1784,公元前1668,116年里65位国王在世
古埃及年表,第二中间期-第14/15/16王朝-威格夫(Wegaf),,,,公元前,公元前,克索伊斯
古埃及年表,第二中间期-第14/15/16王朝-安特夫四世(Antef IV),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-郝(Hor),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-叟伯克侯特普二世(Sobekhotep II),,,,公元前,公元前,阿瓦瑞斯
古埃及年表,第二中间期-第14/15/16王朝-汗杰(Khendjer),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-叟伯克侯特普三世(Sobekhotep III),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-耐夫侯特普一世(Neferhotep I),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-叟伯克侯特普四世(Sobekhotep IV)艾(Ay),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-耐夫侯特普二世(Neferhotep II),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-塞斯(Sheshi),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-亚库赫(Yakubher),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-基安(Khyan),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-阿波比一世(Apopi I),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-阿波比二世(Apopi II),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-艾纳斯(Anather),,,,公元前,公元前,
古埃及年表,第二中间期-第14/15/16王朝-亚考班(Yakobaam),,,公元前,公元前,
古埃及年表,第二中间期-第17王朝-叟伯克沙夫(Sobekemsaf),,,,公元前,公元前,底比斯
古埃及年表,第二中间期-第17王朝-安特夫七世(Antef VII),,,,公元前,公元前,
古埃及年表,第二中间期-第17王朝-塔阿一世(Taa I),,,,公元前,公元前,
古埃及年表,第二中间期-第17王朝-塔阿二世(Taa II),,,,公元前,公元前,
古埃及年表,第二中间期-第17王朝-卡莫西斯(Kamosis),,,,公元前,公元前,
古埃及年表,新王国-第18王朝-阿赫摩斯一世(Ahmose (Nebpehtyre)),,,,公元前1539,公元前1514,底比斯
古埃及年表,新王国-第18王朝-阿蒙霍特普一世(Amenhotep I (Djeserkare)),,,,公元前1514,公元前1493,
古埃及年表,新王国-第18王朝-图特摩斯一世(Thutmose I (Akheperkare)),,,,公元前1493,公元前1481,
古埃及年表,新王国-第18王朝-图特摩斯二世(Thutmose II (Akheperenre)),,,,公元前1481,公元前1479,
古埃及年表,新王国-第18王朝-海特西朴苏特(Hatshepsut (Maatkare)),,,,公元前1473,公元前1458,
古埃及年表,新王国-第18王朝-图特摩斯三世(Thutmose III (Menkheperre)),,,,公元前1479,公元前1425,
古埃及年表,新王国-第18王朝-阿蒙霍特普二世(Amenhotep II (Akheperure)),,,,公元前1427,公元前1392,
古埃及年表,新王国-第18王朝-图特摩斯四世(Thutmose IV (Menkheperure)),,,,公元前1392,公元前1382,
古埃及年表,新王国-第18王朝-阿蒙霍特普三世(Amenhotep III (Nebmaatre)),,,,公元前1382,公元前1344,
古埃及年表,新王国-第18王朝-埃赫那吞(Amenhotep IV / Akhenaten),,,,公元前1352,公元前1336,阿玛尔纳
古埃及年表,新王国-第18王朝-斯门卡尔上(Smenkhkare (Ankhkheperure)),,,,公元前1337,公元前1336,
古埃及年表,新王国-第18王朝-图坦卡芒(Tutankhamun (Nebkheperure)),,,,公元前1336,公元前1327,
古埃及年表,新王国-第18王朝-阿伊(Ay (Kheperkheperure)),,,,公元前1325,公元前1321,
古埃及年表,新王国-第18王朝-荷伦希布(Horemheb (Djeserkheperure)),,,,公元前1323,公元前1295,
古埃及年表,新王国-第19王朝-拉姆西斯一世(Ramesses I (Menpehtyre)),,,,公元前,公元前,
古埃及年表,新王国-第19王朝-塞蒂一世(Sety I (Menmaatre)),,,,公元前1394,公元前1279,
古埃及年表,新王国-第19王朝-拉姆西斯二世(Rameses II (Usermaatresetepenre)),,,,公元前1279,公元前1213,
古埃及年表,新王国-第19王朝-莫尼普塔(Merenptah (Baenrehotephirmaat)),,,,公元前1213,公元前1203,
古埃及年表,新王国-第19王朝-阿门麦遂(Amenmesse (Menmire)),,,,公元前1203,公元前1200,
古埃及年表,新王国-第19王朝-塞蒂二世(Seti II (Userkheperuresetepenre)),,,,公元前1200,公元前1194,
古埃及年表,新王国-第19王朝-斯普塔(Siptah (Akhenresetepenre)),,,,公元前1194,公元前1188,
古埃及年表,新王国-第19王朝-塔沃斯塔王后(Tausert (Sitremeritamun)),,,,公元前1188,公元前1186,
古埃及年表,新王国-第20王朝-塞塔克特(Setakht (Userkhauremeryamun)),,,,公元前1186,公元前1184,
古埃及年表,新王国-第20王朝-拉姆西斯三世(Ramesses III (Usermaatremeryamun)),,,,公元前1184,公元前1153,
古埃及年表,新王国-第20王朝-拉姆西斯四世(Ramesses IV (Hekamaatresetepenamun)),,,,公元前1153,公元前1147,
