lucency changed,blade size,tibial tuberosity area,tibial tuberosity width,age in years,weight in kilograms,location of the anti-rotational pin,bilateral surgery
0,18,85.75,4.29,4,13.63636,0,0
0,24,229,7.63,4,34.09091,0,0
0,24,228.75,8.47,4,37.27273,0,0
0,24,225,10.23,5,38.63636,0,0
0,30,277.75,12.07,2,44.09091,0,1
0,30,359,11.58,2,44.09091,0,1
0,24,234.75,7.82,7,27.72727,0,0
0,24,322.75,10.76,9,36.36364,0,0
0,30,340,10.97,10,51.36364,0,0
0,30,329.75,10.99,3,41.81818,0,0
0,24,322.25,10.74,5,32.72727,0,1
0,24,391.75,13.51,5,32.72727,0,1
0,24,246.5,9.86,3,43.18182,0,0
0,24,242.75,8.37,6,30.45455,0,0
0,24,199.25,7.66,9,34.54545,0,0
0,24,244.5,8.73,9,31.36364,0,0
0,30,372.5,11.29,10,53.18182,0,0
1,24,265.25,8.29,3,46.81818,0,0
0,24,256.25,9.49,6,45.45455,0,0
1,18,96.25,5.66,11,24.09091,1,0
0,18,110.75,5.54,5,27.27273,0,0
0,24,201.25,8.75,7,35.45455,0,0
0,30,374,13.36,5,73.63636,0,0
0,30,325,10.16,6,46.36364,0,0
0,30,295.75,10.2,5,53.18182,0,1
0,30,283.75,8.87,5,53.18182,0,1
0,24,301.75,9.73,3,26.81818,0,0
1,30,367.5,11.14,6,56.81818,0,0
0,24,198.5,7.35,6,24.54545,0,0
0,24,289,9.03,8,45,0,0
0,24,279.5,9.02,4,33.18182,0,0
0,24,273.25,9.76,2,35,0,0
0,24,293.75,10.13,3,41.36364,0,0
0,24,306.75,10.95,8,54.54545,0,0
0,24,248,8.55,2,39.54545,0,0
0,30,445.5,14.85,2,68.18182,0,0
0,30,429,13,6,59.54545,0,0
0,24,284.75,9.49,9,37.72727,0,0
0,24,229,8.48,6,33.63636,0,1
0,24,233.25,8.04,6,33.63636,0,1
0,24,304,9.5,2,38.63636,0,1
0,24,186.25,8.1,2,38.63636,0,1
0,24,376.25,11.07,6,35.45455,1,0
0,24,228.25,8.15,2,39.54545,0,0
0,24,241.5,8.62,5,42.72727,0,0
0,30,322.75,11.53,6,50,0,0
0,24,265.75,7.59,5,36.81818,0,0
0,24,277.25,9.9,1,29.54545,0,0
0,24,245,8.75,9,36.81818,0,0
0,24,223.75,7.46,5,40.90909,0,0
0,30,581,14.9,5,49.09091,0,0
0,24,264,8.8,10,36.36364,0,0
0,24,238.25,8.51,3,37.72727,0,0
1,24,322.75,10.08,6,28.18182,0,1
1,24,309.5,9.1,6,28.18182,0,1
0,24,442.5,12.29,5,39.09091,1,0
0,24,220.25,7.87,5,76.36364,1,0
0,24,384,13.71,3,39.09091,0,0
0,24,198.25,9.91,3,36.81818,1,0
0,24,189.5,9.47,6,57.27273,1,0
0,24,241,8.92,6,39.09091,1,0
0,24,338,10.56,7,46.36364,1,0
0,24,379,9.47,10,39.09091,1,0
0,24,549,12.48,2,36.81818,1,0
0,24,210,11.05,6,40,1,0
1,24,211.25,8.8,10,33.18182,1,0
0,24,454,13.35,9,44.54545,1,1
1,24,319.5,8.87,9,44.54545,1,1
0,24,417.75,11.6,10,25.90909,1,1
0,24,311.75,9.45,10,25.90909,1,1
1,24,492.25,14.92,3,70,1,1
1,24,300.5,10.73,3,70,1,1
0,24,448.25,10.67,5,48.18182,1,0
0,24,414,9.41,5,54.54545,1,0
0,24,206.75,8.27,4,36.81818,1,0
0,24,200.25,7.7,4,40,1,0
0,24,387.75,13.37,3,54.54545,1,0
0,24,431.5,12.69,3,54.54545,1,0
1,24,241.5,9.66,9,50.90909,1,0
