# 现代汉语语料库词语频率表
# 语料规模：2000万字 ，只列入出现次数大于50次的词
# 制作：www.cncorpus.org 语料库在线网站
词语,排名,出现次数,频率（%）,累积频率（%）
的,1,744863.0,7.7946,7.7946
了,2,130191.0,1.3624,9.157
在,3,118823.0,1.2434,10.4004
是,4,118527.0,1.2403,11.6407
和,5,83958.0,0.8786,12.5193
一,6,81119.0,0.8489,13.3682
这,7,65146.0,0.6817,14.0499
有,8,53556.0,0.5604,14.6103
他,9,52912.0,0.5537,15.164
我,10,52728.0,0.5518,15.7158
也,11,47908.0,0.5013,16.2171
不,12,46965.0,0.4915,16.7086
就,13,44947.0,0.4703,17.1789
地,14,42332.0,0.443,17.6219
着,15,41116.0,0.4303,18.0522
中,16,40849.0,0.4275,18.4797
上,17,38084.0,0.3985,18.8782
说,18,35429.0,0.3707,19.2489
都,19,34323.0,0.3592,19.6081
人,20,33991.0,0.3557,19.9638
个,21,31512.0,0.3298,20.2936
对,22,30936.0,0.3237,20.6173
种,23,30123.0,0.3152,20.9325
把,24,29749.0,0.3113,21.2438
为,25,29265.0,0.3062,21.55
要,26,29039.0,0.3039,21.8539
你,27,28769.0,0.3011,22.155
而,28,28404.0,0.2972,22.4522
来,29,28038.0,0.2934,22.7456
我们,30,26823.0,0.2807,23.0263
又,31,25715.0,0.2691,23.2954
一个,32,24807.0,0.2596,23.555
与,33,23823.0,0.2493,23.8043
从,34,23749.0,0.2485,24.0528
年,35,22029.0,0.2305,24.2833
到,36,21744.0,0.2275,24.5108
还,37,21148.0,0.2213,24.7321
它,38,21041.0,0.2202,24.9523
大,39,20907.0,0.2188,25.1711
等,40,20210.0,0.2115,25.3826
她,41,19915.0,0.2084,25.591
两,42,19539.0,0.2045,25.7955
去,43,18963.0,0.1984,25.9939
没有,44,18950.0,0.1983,26.1922
里,45,18805.0,0.1968,26.389
得,46,18698.0,0.1957,26.5847
时,47,18257.0,0.191,26.7757
多,48,18064.0,0.189,26.9647
他们,49,17787.0,0.1861,27.1508
发展,50,17331.0,0.1814,27.3322
用,51,17259.0,0.1806,27.5128
那,52,17198.0,0.18,27.6928
以,53,17181.0,0.1798,27.8726
所,54,17101.0,0.179,28.0516
很,55,16774.0,0.1755,28.2271
可以,56,16734.0,0.1751,28.4022
使,57,16571.0,0.1734,28.5756
但,58,15963.0,0.167,28.7426
自己,59,14793.0,0.1548,28.8974
小,60,14509.0,0.1518,29.0492
之,61,14428.0,0.151,29.2002
能,62,14413.0,0.1508,29.351
下,63,14051.0,0.147,29.498
或,64,13918.0,0.1456,29.6436
看,65,13758.0,0.144,29.7876
就是,66,13715.0,0.1435,29.9311
被,67,13624.0,0.1426,30.0737
什么,68,13589.0,0.1422,30.2159
三,69,13220.0,0.1383,30.3542
这个,70,13202.0,0.1382,30.4924
会,71,12996.0,0.136,30.6284
好,72,12660.0,0.1325,30.7609
可,73,12457.0,0.1304,30.8913
后,74,12144.0,0.1271,31.0184
这样,75,11980.0,0.1254,31.1438
给,76,11678.0,0.1222,31.266
向,77,11609.0,0.1215,31.3875
社会,78,11461.0,0.1199,31.5074
由,79,11413.0,0.1194,31.6268
进行,80,11087.0,0.116,31.7428
问题,81,10899.0,0.1141,31.8569
工作,82,10531.0,0.1102,31.9671
如,83,10502.0,0.1099,32.077
呢,84,10425.0,0.1091,32.1861
于,85,10296.0,0.1077,32.2938
其,86,10206.0,0.1068,32.4006
起来,87,10196.0,0.1067,32.5073
国家,88,10139.0,0.1061,32.6134
过,89,10047.0,0.1051,32.7185
不能,90,10033.0,0.105,32.8235
并,91,9990.0,0.1045,32.928
这些,92,9975.0,0.1044,33.0324
生产,93,9556.0,0.1,33.1324
生活,94,9525.0,0.0997,33.2321
只,95,9417.0,0.0985,33.3306
将,96,9315.0,0.0975,33.4281
新,97,9292.0,0.0972,33.5253
想,98,9154.0,0.0958,33.6211
几,99,9132.0,0.0956,33.7167
因为,100,8969.0,0.0939,33.8106
不是,101,8956.0,0.0937,33.9043
经济,102,8730.0,0.0914,33.9957
更,103,8684.0,0.0909,34.0866
研究,104,8657.0,0.0906,34.1772
已,105,8632.0,0.0903,34.2675
当,106,8443.0,0.0884,34.3559
却,107,8375.0,0.0876,34.4435
主要,108,8352.0,0.0874,34.5309
再,109,8200.0,0.0858,34.6167
由于,110,8074.0,0.0845,34.7012
我国,111,7980.0,0.0835,34.7847
最,112,7961.0,0.0833,34.868
关系,113,7954.0,0.0832,34.9512
作用,114,7924.0,0.0829,35.0341
不同,115,7851.0,0.0822,35.1163
中国,116,7791.0,0.0815,35.1978
才,117,7780.0,0.0814,35.2792
人们,118,7706.0,0.0806,35.3598
出,119,7687.0,0.0804,35.4402
但是,120,7678.0,0.0803,35.5205
现在,121,7642.0,0.08,35.6005
则,122,7620.0,0.0797,35.6802
需要,123,7610.0,0.0796,35.7598
所以,124,7519.0,0.0787,35.8385
因此,125,7416.0,0.0776,35.9161
如果,126,7375.0,0.0772,35.9933
已经,127,7362.0,0.077,36.0703
一定,128,7317.0,0.0766,36.1469
们,129,7290.0,0.0763,36.2232
各,130,7275.0,0.0761,36.2993
重要,131,7135.0,0.0747,36.374
象,132,7102.0,0.0743,36.4483
一些,133,7071.0,0.074,36.5223
情况,134,6923.0,0.0724,36.5947
吧,135,6877.0,0.072,36.6667
二,136,6838.0,0.0716,36.7383
次,137,6837.0,0.0715,36.8098
月,138,6828.0,0.0715,36.8813
便,139,6790.0,0.0711,36.9524
知道,140,6773.0,0.0709,37.0233
时候,141,6721.0,0.0703,37.0936
做,142,6708.0,0.0702,37.1638
必须,143,6703.0,0.0701,37.2339
成,144,6690.0,0.07,37.3039
人民,145,6669.0,0.0698,37.3737
四,146,6608.0,0.0691,37.4428
走,147,6594.0,0.069,37.5118
出来,148,6574.0,0.0688,37.5806
活动,149,6569.0,0.0687,37.6493
同,150,6561.0,0.0687,37.718
方面,151,6523.0,0.0683,37.7863
条,152,6511.0,0.0681,37.8544
高,153,6508.0,0.0681,37.9225
吗,154,6508.0,0.0681,37.9906
科学,155,6505.0,0.0681,38.0587
也是,156,6473.0,0.0677,38.1264
即,157,6439.0,0.0674,38.1938
条件,158,6427.0,0.0673,38.2611
天,159,6401.0,0.067,38.3281
许多,160,6389.0,0.0669,38.395
通过,161,6387.0,0.0668,38.4618
思想,162,6370.0,0.0667,38.5285
发生,163,6317.0,0.0661,38.5946
叫,164,6289.0,0.0658,38.6604
为了,165,6285.0,0.0658,38.7262
老,166,6236.0,0.0653,38.7915
过程,167,6231.0,0.0652,38.8567
比,168,6229.0,0.0652,38.9219
起,169,6218.0,0.0651,38.987
而且,170,6116.0,0.064,39.051
影响,171,6103.0,0.0639,39.1149
方法,172,6098.0,0.0638,39.1787
要求,173,6097.0,0.0638,39.2425
内,174,6025.0,0.063,39.3055
技术,175,5978.0,0.0626,39.3681
点,176,5958.0,0.0623,39.4304
一般,177,5944.0,0.0622,39.4926
较,178,5936.0,0.0621,39.5547
让,179,5893.0,0.0617,39.6164
具有,180,5870.0,0.0614,39.6778
形成,181,5853.0,0.0612,39.739
对于,182,5846.0,0.0612,39.8002
日,183,5809.0,0.0608,39.861
事,184,5775.0,0.0604,39.9214
时间,185,5761.0,0.0603,39.9817
认为,186,5720.0,0.0599,40.0416
还是,187,5720.0,0.0599,40.1015
真,188,5709.0,0.0597,40.1612
长,189,5702.0,0.0597,40.2209
世界,190,5697.0,0.0596,40.2805
只有,191,5668.0,0.0593,40.3398
以后,192,5651.0,0.0591,40.3989
教育,193,5648.0,0.0591,40.458
它们,194,5634.0,0.059,40.517
同时,195,5626.0,0.0589,40.5759
性,196,5575.0,0.0583,40.6342
表现,197,5572.0,0.0583,40.6925
产生,198,5563.0,0.0582,40.7507
出现,199,5544.0,0.058,40.8087
企业,200,5489.0,0.0574,40.8661
社会主义,201,5480.0,0.0573,40.9234
作,202,5480.0,0.0573,40.9807
者,203,5475.0,0.0573,41.038
没,204,5449.0,0.057,41.095
各种,205,5419.0,0.0567,41.1517
之间,206,5380.0,0.0563,41.208
家,207,5361.0,0.0561,41.2641
组织,208,5334.0,0.0558,41.3199
前,209,5333.0,0.0558,41.3757
水,210,5318.0,0.0556,41.4313
一样,211,5278.0,0.0552,41.4865
成为,212,5251.0,0.0549,41.5414
可能,213,5233.0,0.0548,41.5962
根据,214,5186.0,0.0543,41.6505
开始,215,5138.0,0.0538,41.7043
吃,216,5137.0,0.0538,41.7581
还有,217,5102.0,0.0534,41.8115
话,218,5084.0,0.0532,41.8647
存在,219,5081.0,0.0532,41.9179
地方,220,5081.0,0.0532,41.9711
变化,221,5077.0,0.0531,42.0242
可是,222,5032.0,0.0527,42.0769
革命,223,5021.0,0.0525,42.1294
作为,224,5001.0,0.0523,42.1817
这里,225,4974.0,0.0521,42.2338
提高,226,4955.0,0.0519,42.2857
五,227,4944.0,0.0517,42.3374
同志,228,4928.0,0.0516,42.389
跟,229,4901.0,0.0513,42.4403
以及,230,4886.0,0.0511,42.4914
见,231,4823.0,0.0505,42.5419
发现,232,4821.0,0.0504,42.5923
及,233,4811.0,0.0503,42.6426
一切,234,4810.0,0.0503,42.6929
运动,235,4804.0,0.0503,42.7432
呀,236,4775.0,0.05,42.7932
每,237,4748.0,0.0497,42.8429
听,238,4625.0,0.0484,42.8913
历史,239,4620.0,0.0483,42.9396
地区,240,4594.0,0.0481,42.9877
第一,241,4593.0,0.0481,43.0358
物质,242,4549.0,0.0476,43.0834
问,243,4505.0,0.0471,43.1305
外,244,4489.0,0.047,43.1775
你们,245,4484.0,0.0469,43.2244
位,246,4478.0,0.0469,43.2713
正,247,4446.0,0.0465,43.3178
形式,248,4433.0,0.0464,43.3642
打,249,4413.0,0.0462,43.4104
认识,250,4395.0,0.046,43.4564
那么,251,4395.0,0.046,43.5024
例如,252,4389.0,0.0459,43.5483
学生,253,4377.0,0.0458,43.5941
政治,254,4375.0,0.0458,43.6399
比较,255,4352.0,0.0455,43.6854
全,256,4334.0,0.0454,43.7308
儿,257,4308.0,0.0451,43.7759
应,258,4307.0,0.0451,43.821
第二,259,4292.0,0.0449,43.8659
怎么,260,4287.0,0.0449,43.9108
经过,261,4285.0,0.0448,43.9556
提出,262,4271.0,0.0447,44.0003
艺术,263,4257.0,0.0445,44.0448
自然,264,4243.0,0.0444,44.0892
头,265,4234.0,0.0443,44.1335
过去,266,4213.0,0.0441,44.1776
领导,267,4199.0,0.0439,44.2215
完全,268,4184.0,0.0438,44.2653
东西,269,4174.0,0.0437,44.309
其他,270,4169.0,0.0436,44.3526
无,271,4167.0,0.0436,44.3962
得到,272,4163.0,0.0436,44.4398
劳动,273,4127.0,0.0432,44.483
本,274,4115.0,0.0431,44.5261
谁,275,4114.0,0.0431,44.5692
决定,276,4101.0,0.0429,44.6121
结构,277,4079.0,0.0427,44.6548
党,278,4072.0,0.0426,44.6974
现象,279,4068.0,0.0426,44.74
受,280,4039.0,0.0423,44.7823
理论,281,4033.0,0.0422,44.8245
虽然,282,4004.0,0.0419,44.8664
带,283,3996.0,0.0418,44.9082
学习,284,3995.0,0.0418,44.95
孩子,285,3975.0,0.0416,44.9916
特别,286,3970.0,0.0415,45.0746
工业,287,3970.0,0.0415,45.0331
啊,288,3952.0,0.0414,45.116
一点,289,3940.0,0.0412,45.1572
建立,290,3928.0,0.0411,45.1983
管理,291,3913.0,0.0409,45.2392
文化,292,3910.0,0.0409,45.2801
利用,293,3892.0,0.0407,45.3208
先,294,3865.0,0.0404,45.3612
人类,295,3842.0,0.0402,45.4014
应该,296,3836.0,0.0401,45.4415
建设,297,3836.0,0.0401,45.4816
图,298,3835.0,0.0401,45.5217
规定,299,3832.0,0.0401,45.5618
有些,300,3798.0,0.0397,45.6015
精神,301,3777.0,0.0395,45.641
基本,302,3767.0,0.0394,45.6804
声,303,3759.0,0.0393,45.7197
结果,304,3746.0,0.0392,45.7589
看到,305,3736.0,0.0391,45.798
手,306,3712.0,0.0388,45.8368
连,307,3685.0,0.0386,45.8754
大家,308,3683.0,0.0385,45.9139
时期,309,3672.0,0.0384,45.9523
啦,310,3659.0,0.0383,45.9906
意义,311,3628.0,0.038,46.0286
法,312,3602.0,0.0377,46.0663
十,313,3591.0,0.0376,46.1039
另,314,3591.0,0.0376,46.1415
其中,315,3578.0,0.0374,46.1789
才能,316,3554.0,0.0372,46.2161
能够,317,3553.0,0.0372,46.2533
分,318,3548.0,0.0371,46.2904
间,319,3545.0,0.0371,46.3275
当时,320,3541.0,0.0371,46.3646
因,321,3525.0,0.0369,46.4015
美国,322,3521.0,0.0368,46.4383
解决,323,3520.0,0.0368,46.4751
指,324,3519.0,0.0368,46.5119
只是,325,3507.0,0.0367,46.5486
语言,326,3498.0,0.0366,46.5852
增加,327,3488.0,0.0365,46.6217
内容,328,3476.0,0.0364,46.6581
该,329,3471.0,0.0363,46.6944
计划,330,3460.0,0.0362,46.7306
笑,331,3457.0,0.0362,46.7668
今天,332,3433.0,0.0359,46.8027
相,333,3422.0,0.0358,46.8385
不仅,334,3417.0,0.0358,46.8743
注意,335,3398.0,0.0356,46.9099
群众,336,3393.0,0.0355,46.9454
联系,337,3361.0,0.0352,46.9806
曾,338,3358.0,0.0351,47.0157
水平,339,3355.0,0.0351,47.0508
类,340,3321.0,0.0348,47.0856
快,341,3321.0,0.0348,47.1204
使用,342,3319.0,0.0347,47.1551
写,343,3310.0,0.0346,47.1897
分析,344,3308.0,0.0346,47.2243
当然,345,3308.0,0.0346,47.2589
既,346,3303.0,0.0346,47.2935
有关,347,3293.0,0.0345,47.328
实现,348,3286.0,0.0344,47.3624
此,349,3280.0,0.0343,47.3967
系统,350,3277.0,0.0343,47.431
直接,351,3277.0,0.0343,47.4653
不过,352,3275.0,0.0343,47.4996
按,353,3270.0,0.0342,47.5338
说明,354,3258.0,0.0341,47.5679
产品,355,3244.0,0.0339,47.6018
张,356,3235.0,0.0339,47.6357
总,357,3233.0,0.0338,47.6695
全国,358,3226.0,0.0338,47.7033
基础,359,3216.0,0.0337,47.737
十分,360,3199.0,0.0335,47.7705
市场,361,3188.0,0.0334,47.8039
找,362,3184.0,0.0333,47.8372
斗争,363,3183.0,0.0333,47.8705
环境,364,3181.0,0.0333,47.9038
特点,365,3177.0,0.0332,47.937
为什么,366,3168.0,0.0332,47.9702
学,367,3159.0,0.0331,48.0033
于是,368,3159.0,0.0331,48.0364
反映,369,3150.0,0.033,48.0694
引起,370,3141.0,0.0329,48.1023
创造,371,3122.0,0.0327,48.135
参加,372,3119.0,0.0326,48.1676
甚至,373,3112.0,0.0326,48.2002
讲,374,3112.0,0.0326,48.2328
坐,375,3112.0,0.0326,48.2654
能力,376,3108.0,0.0325,48.2979
像,377,3105.0,0.0325,48.3304
开,378,3105.0,0.0325,48.3629
觉得,379,3094.0,0.0324,48.3953
一下,380,3090.0,0.0323,48.4276
民族,381,3089.0,0.0323,48.4599
放,382,3079.0,0.0322,48.4921
具体,383,3072.0,0.0321,48.5242
知识,384,3067.0,0.0321,48.5563
有的,385,3055.0,0.032,48.5883
包括,386,3049.0,0.0319,48.6202
下来,387,3046.0,0.0319,48.6521
部门,388,3008.0,0.0315,48.6836
结合,389,3003.0,0.0314,48.715
岁,390,2993.0,0.0313,48.7463
正确,391,2986.0,0.0312,48.7775
任务,392,2986.0,0.0312,48.8087
部分,393,2986.0,0.0312,48.8399
那些,394,2973.0,0.0311,48.871
不会,395,2966.0,0.031,48.902
任何,396,2937.0,0.0307,48.9327
太,397,2934.0,0.0307,48.9634
眼睛,398,2916.0,0.0305,48.9939
经验,399,2909.0,0.0304,49.0243
实际,400,2900.0,0.0303,49.0546
随着,401,2895.0,0.0303,49.0849
农业,402,2894.0,0.0303,49.1152
道,403,2894.0,0.0303,49.1455
极,404,2891.0,0.0303,49.1758
少,405,2885.0,0.0302,49.206
不断,406,2883.0,0.0302,49.2362
这时,407,2881.0,0.0301,49.2663
最后,408,2877.0,0.0301,49.2964
件,409,2875.0,0.0301,49.3265
单位,410,2873.0,0.0301,49.3566
句,411,2870.0,0.03,49.3866
数,412,2862.0,0.0299,49.4165
而是,413,2846.0,0.0298,49.4463
表示,414,2841.0,0.0297,49.476
之后,415,2839.0,0.0297,49.5057
关于,416,2834.0,0.0297,49.5354
六,417,2826.0,0.0296,49.565
整个,418,2826.0,0.0296,49.5946
心,419,2821.0,0.0295,49.6241
性质,420,2818.0,0.0295,49.6536
受到,421,2818.0,0.0295,49.6831
政府,422,2802.0,0.0293,49.7124
至,423,2799.0,0.0293,49.7417
到了,424,2784.0,0.0291,49.7708
作品,425,2778.0,0.0291,49.7999
青年,426,2773.0,0.029,49.8289
目的,427,2772.0,0.029,49.8579
工人,428,2769.0,0.029,49.8869
规律,429,2759.0,0.0289,49.9158
农民,430,2758.0,0.0289,49.9447
元,431,2752.0,0.0288,49.9735
变,432,2746.0,0.0287,50.0022
实行,433,2742.0,0.0287,50.0309
力量,434,2739.0,0.0287,50.0596
非,435,2739.0,0.0287,50.0883
一起,436,2732.0,0.0286,50.1169
先生,437,2728.0,0.0285,50.1454
后来,438,2722.0,0.0285,50.1739
名,439,2716.0,0.0284,50.2023
请,440,2714.0,0.0284,50.2307
然后,441,2711.0,0.0284,50.2591
干,442,2701.0,0.0283,50.2874
办法,443,2698.0,0.0282,50.3156
站,444,2674.0,0.028,50.3436
并不,445,2669.0,0.0279,50.3715
制度,446,2669.0,0.0279,50.3994
钱,447,2667.0,0.0279,50.4273
有人,448,2658.0,0.0278,50.4551
心理,449,2654.0,0.0278,50.4829
怎样,450,2654.0,0.0278,50.5107
原则,451,2654.0,0.0278,50.5385
多少,452,2654.0,0.0278,50.5663
处,453,2653.0,0.0278,50.5941
原来,454,2647.0,0.0277,50.6218
那个,455,2639.0,0.0276,50.6494
等等,456,2634.0,0.0276,50.677
商品,457,2627.0,0.0275,50.7045
干部,458,2626.0,0.0275,50.732
部,459,2619.0,0.0274,50.7594
实践,460,2615.0,0.0274,50.7868
您,461,2612.0,0.0273,50.8141
所谓,462,2612.0,0.0273,50.8414
低,463,2606.0,0.0273,50.8687
行为,464,2600.0,0.0272,50.8959
第,465,2599.0,0.0272,50.9231
统一,466,2599.0,0.0272,50.9503
拿,467,2598.0,0.0272,50.9775
日本,468,2597.0,0.0272,51.0047
矛盾,469,2592.0,0.0271,51.0318
以上,470,2590.0,0.0271,51.0589
大量,471,2586.0,0.0271,51.086
死,472,2585.0,0.0271,51.1131
个人,473,2580.0,0.027,51.1401
指出,474,2573.0,0.0269,51.167
然而,475,2573.0,0.0269,51.1939
代表,476,2569.0,0.0269,51.2207999999999
学校,477,2568.0,0.0269,51.2476999999999
原因,478,2564.0,0.0268,51.2744999999999
几个,479,2562.0,0.0268,51.3012999999999
达到,480,2544.0,0.0266,51.3279
因素,481,2544.0,0.0266,51.3545
感到,482,2538.0,0.0266,51.3811
实验,483,2525.0,0.0264,51.4075
地位,484,2524.0,0.0264,51.4603
方向,485,2524.0,0.0264,51.4339
正在,486,2520.0,0.0264,51.4867
资本主义,487,2513.0,0.0263,51.513
因而,488,2510.0,0.0263,51.5393
程度,489,2509.0,0.0263,51.5656
并且,490,2507.0,0.0262,51.5918
完成,491,2499.0,0.0262,51.618
造成,492,2491.0,0.0261,51.6441
八,493,2491.0,0.0261,51.6702
回来,494,2491.0,0.0261,51.6963
改变,495,2484.0,0.026,51.7223
往往,496,2484.0,0.026,51.7483
看见,497,2482.0,0.026,51.7743
政策,498,2472.0,0.0259,51.8002
目前,499,2467.0,0.0258,51.826
半,500,2454.0,0.0257,51.8517
那样,501,2451.0,0.0256,51.8773
这么,502,2450.0,0.0256,51.9029
范围,503,2447.0,0.0256,51.9285
非常,504,2445.0,0.0256,51.9541
只要,505,2445.0,0.0256,51.9797
经,506,2441.0,0.0255,52.0052
首先,507,2438.0,0.0255,52.0307
法律,508,2437.0,0.0255,52.0562
声音,509,2436.0,0.0255,52.0817
时代,510,2433.0,0.0255,52.1072
质量,511,2429.0,0.0254,52.1326
改革,512,2418.0,0.0253,52.1579
阶段,513,2408.0,0.0252,52.1831
心里,514,2407.0,0.0252,52.2083
继续,515,2400.0,0.0251,52.2334
获得,516,2394.0,0.0251,52.2585
方式,517,2387.0,0.025,52.2835
层,518,2384.0,0.0249,52.3084
住,519,2381.0,0.0249,52.3333
副,520,2377.0,0.0249,52.3582
不要,521,2374.0,0.0248,52.383
量,522,2370.0,0.0248,52.4078
取得,523,2363.0,0.0247,52.4325
场,524,2362.0,0.0247,52.4572
所有,525,2344.0,0.0245,52.4817
块,526,2341.0,0.0245,52.5062
人物,527,2340.0,0.0245,52.5307
书,528,2333.0,0.0244,52.5551
叫做,529,2326.0,0.0243,52.5794
占,530,2302.0,0.0241,52.6035
些,531,2296.0,0.024,52.6275
告诉,532,2293.0,0.024,52.6515
严重,533,2290.0,0.024,52.6755
组成,534,2284.0,0.0239,52.6994
观察,535,2281.0,0.0239,52.7233
自,536,2276.0,0.0238,52.7471
近,537,2275.0,0.0238,52.7709
往,538,2272.0,0.0238,52.7947
第三,539,2270.0,0.0238,52.8185
速度,540,2270.0,0.0238,52.8423
自由,541,2270.0,0.0238,52.8661
字,542,2264.0,0.0237,52.8898
根本,543,2263.0,0.0237,52.9135
门,544,2258.0,0.0236,52.9371
容易,545,2255.0,0.0236,52.9607
哪,546,2252.0,0.0236,52.9843
加强,547,2251.0,0.0236,53.0079
了解,548,2247.0,0.0235,53.0314
全部,549,2245.0,0.0235,53.0549
早,550,2244.0,0.0235,53.0784
很多,551,2242.0,0.0235,53.1019
准备,552,2238.0,0.0234,53.1253
或者,553,2229.0,0.0233,53.1486
进一步,554,2228.0,0.0233,53.1719
项,555,2224.0,0.0233,53.1952
从而,556,2219.0,0.0232,53.2184
资产阶级,557,2217.0,0.0232,53.2416
价值,558,2216.0,0.0232,53.2648
困难,559,2211.0,0.0231,53.2879
还要,560,2199.0,0.023,53.3109
总是,561,2197.0,0.023,53.3339
中心,562,2197.0,0.023,53.3569
充分,563,2176.0,0.0228,53.3797
仍,564,2174.0,0.0227,53.4024
保证,565,2172.0,0.0227,53.4251
进入,566,2171.0,0.0227,53.4478
文学,567,2168.0,0.0227,53.4705
变成,568,2168.0,0.0227,53.4932
强,569,2166.0,0.0227,53.5159
处理,570,2166.0,0.0227,53.5386
采取,571,2164.0,0.0226,53.5612
事情,572,2163.0,0.0226,53.5838
只能,573,2162.0,0.0226,53.6064
敌人,574,2145.0,0.0224,53.6288
光,575,2143.0,0.0224,53.6512
不到,576,2141.0,0.0224,53.6736
事物,577,2139.0,0.0224,53.696
七,578,2136.0,0.0224,53.7184
那里,579,2132.0,0.0223,53.7407
约,580,2131.0,0.0223,53.763
控制,581,2126.0,0.0222,53.7852
对象,582,2124.0,0.0222,53.8074
积极,583,2119.0,0.0222,53.8518
动物,584,2119.0,0.0222,53.874
反应,585,2119.0,0.0222,53.8296
来说,586,2118.0,0.0222,53.8962
花,587,2108.0,0.0221,53.9183
米,588,2105.0,0.022,53.9403
美,589,2100.0,0.022,53.9623
难,590,2094.0,0.0219,53.9842
某,591,2094.0,0.0219,54.0061
行,592,2093.0,0.0219,54.028
倒,593,2089.0,0.0219,54.0499
提供,594,2082.0,0.0218,54.0717
集中,595,2078.0,0.0217,54.0934
世纪,596,2072.0,0.0217,54.1151
突然,597,2071.0,0.0217,54.1368
下去,598,2070.0,0.0217,54.1585
别,599,2069.0,0.0217,54.1802
常,600,2065.0,0.0216,54.2018
不少,601,2060.0,0.0216,54.2234
经营,602,2058.0,0.0215,54.2449
事实,603,2056.0,0.0215,54.2664
某些,604,2051.0,0.0215,54.2879
正是,605,2050.0,0.0215,54.3094
客观,606,2049.0,0.0214,54.3308
口,607,2045.0,0.0214,54.3522
生,608,2043.0,0.0214,54.3736
植物,609,2030.0,0.0212,54.3948
似的,610,2029.0,0.0212,54.416
段,611,2027.0,0.0212,54.4372
应当,612,2014.0,0.0211,54.4583
现代,613,2008.0,0.021,54.4793
状态,614,2008.0,0.021,54.5003
价格,615,2005.0,0.021,54.5213
一直,616,2004.0,0.021,54.5423
采用,617,2003.0,0.021,54.5633
服务,618,2002.0,0.0209,54.5842
按照,619,2002.0,0.0209,54.6051
分别,620,1999.0,0.0209,54.626
特征,621,1999.0,0.0209,54.6469
事业,622,1993.0,0.0209,54.6678
利益,623,1993.0,0.0209,54.6887
材料,624,1993.0,0.0209,54.7096
培养,625,1991.0,0.0208,54.7304
复杂,626,1990.0,0.0208,54.7512
有时,627,1983.0,0.0208,54.772
分子,628,1982.0,0.0207,54.7927
如何,629,1981.0,0.0207,54.8134
根,630,1975.0,0.0207,54.8341
望,631,1975.0,0.0207,54.8548
掌握,632,1971.0,0.0206,54.8754
丰富,633,1969.0,0.0206,54.896
又是,634,1968.0,0.0206,54.9166
共同,635,1964.0,0.0206,54.9372
城市,636,1964.0,0.0206,54.9578
式,637,1963.0,0.0205,54.9783
上海,638,1961.0,0.0205,54.9988
内部,639,1958.0,0.0205,55.0193
气,640,1947.0,0.0204,55.0397
理解,641,1941.0,0.0203,55.06
音乐,642,1936.0,0.0203,55.0803
运用,643,1934.0,0.0202,55.1005
构成,644,1929.0,0.0202,55.1207
现实,645,1924.0,0.0201,55.1408
形象,646,1923.0,0.0201,55.1609
真正,647,1922.0,0.0201,55.181
买,648,1922.0,0.0201,55.2011
发挥,649,1917.0,0.0201,55.2212
称为,650,1916.0,0.02,55.2412
刚,651,1914.0,0.02,55.2612
搞,652,1914.0,0.02,55.2812
传统,653,1910.0,0.02,55.3012
相同,654,1910.0,0.02,55.3212
除了,655,1908.0,0.02,55.3412
常常,656,1907.0,0.02,55.3612
创作,657,1906.0,0.0199,55.3811
适应,658,1904.0,0.0199,55.401
国际,659,1903.0,0.0199,55.4209
温度,660,1901.0,0.0199,55.4408
证明,661,1899.0,0.0199,55.4607
年代,662,1897.0,0.0199,55.4806
虽,663,1893.0,0.0198,55.5004
爱,664,1893.0,0.0198,55.5202
观点,665,1886.0,0.0197,55.5399
面,666,1884.0,0.0197,55.5596
促进,667,1884.0,0.0197,55.5793
战争,668,1883.0,0.0197,55.599
阶级,669,1880.0,0.0197,55.6187
帮助,670,1876.0,0.0196,55.6579
未,671,1876.0,0.0196,55.6383
母亲,672,1875.0,0.0196,55.6775
似乎,673,1875.0,0.0196,55.6971
回,674,1868.0,0.0195,55.7166
希望,675,1867.0,0.0195,55.7361
农村,676,1867.0,0.0195,55.7556
病,677,1866.0,0.0195,55.7751
重,678,1865.0,0.0195,55.7946
家庭,679,1862.0,0.0195,55.8141
空气,680,1861.0,0.0195,55.8336
坚持,681,1861.0,0.0195,55.8531
合理,682,1859.0,0.0195,55.8726
同样,683,1855.0,0.0194,55.892
区,684,1852.0,0.0194,55.9114
迅速,685,1849.0,0.0193,55.9307
进,686,1848.0,0.0193,55.95
属于,687,1847.0,0.0193,55.9886
土地,688,1847.0,0.0193,55.9693
除,689,1846.0,0.0193,56.0079
不可,690,1843.0,0.0193,56.0272
身体,691,1840.0,0.0193,56.0465
靠,692,1837.0,0.0192,56.0657
本身,693,1837.0,0.0192,56.0849
万,694,1836.0,0.0192,56.1041
感情,695,1836.0,0.0192,56.1233
路,696,1831.0,0.0192,56.1425
红,697,1825.0,0.0191,56.1616
父亲,698,1819.0,0.019,56.1806
广大,699,1816.0,0.019,56.1996
逐渐,700,1806.0,0.0189,56.2185
身上,701,1805.0,0.0189,56.2374
人员,702,1804.0,0.0189,56.2563
跑,703,1803.0,0.0189,56.2752
反对,704,1801.0,0.0188,56.294
北京,705,1800.0,0.0188,56.3128
生命,706,1799.0,0.0188,56.3316
必然,707,1798.0,0.0188,56.3504
简单,708,1797.0,0.0188,56.3692
人家,709,1794.0,0.0188,56.388
选择,710,1794.0,0.0188,56.4068
解释,711,1788.0,0.0187,56.4255
