# https://forum.freemdict.com/t/topic/3748/
# 文淵閣四庫全書(正體無標點版)
字,排名,计数
之,1,17579806
不,2,8550235
以,3,8405344
也,4,6851277
而,5,6817082
為,6,6281125
其,7,6051172
人,8,5962738
有,9,5462769
者,10,4938196
一,11,4699599
曰,12,4541008
子,13,4061358
於,14,3815452
十,15,3681729
大,16,3188079
丨,17,3140195
所,18,3125532
二,19,3057818
三,20,2970574
年,21,2808987
中,22,2805943
無,23,2770324
則,24,2743235
下,25,2618412
天,26,2593151
上,27,2560917
此,28,2500075
王,29,2431824
書,30,2321986
是,31,2302034
事,32,2233850
公,33,2230860
自,34,2177193
可,35,2134195
在,36,2107802
五,37,2084800
言,38,2079742
至,39,2064946
如,40,2060754
四,41,2059415
日,42,2056871
故,43,1998099
山,44,1971491
與,45,1939688
文,46,1937052
得,47,1931606
時,48,1916560
又,49,1904653
行,50,1850006
月,51,1787502
州,52,1770394
知,53,1766949
後,54,1735727
南,55,1676553
生,56,1633906
見,57,1616461
道,58,1570042
謂,59,1544397
亦,60,1526822
明,61,1484533
相,62,1467340
然,63,1464938
君,64,1459716
水,65,1456385
東,66,1454261
皆,67,1451917
國,68,1447332
今,69,1441516
臣,70,1420507
出,71,1420323
使,72,1415844
名,73,1412465
于,74,1410846
百,75,1409798
詩,76,1409470
未,77,1396149
作,78,1392128
官,79,1380455
太,80,1376884
用,81,1373709
六,82,1370953
何,83,1368283
矣,84,1365100
正,85,1343923
西,86,1336800
能,87,1319611
夫,88,1265893
地,89,1234390
縣,90,1223445
元,91,1210832
云,92,1204114
同,93,1193763
成,94,1193286
士,95,1190282
陽,96,1185962
方,97,1180719
氏,98,1169226
非,99,1165773
心,100,1165226
入,101,1142072
及,102,1137799
長,103,1132485
安,104,1121844
已,105,1121712
禮,106,1111794
當,107,1106366
諸,108,1093946
帝,109,1085532
九,110,1076636
先,111,1075724
風,112,1064868
若,113,1059861
軍,114,1054569
乃,115,1052325
將,116,1048585
傳,117,1045225
平,118,1016536
世,119,1011907
北,120,1009755
民,121,1005831
城,122,1001312
分,123,1000794
史,124,1000612
從,125,995150
萬,126,995042
復,127,988255
八,128,984345
前,129,977918
家,130,977285
七,131,974922
來,132,974452
本,133,951632
里,134,938448
兵,135,932659
學,136,932636
字,137,928763
朝,138,926782
門,139,921793
古,140,920905
去,141,915498
必,142,909963
乎,143,907953
多,144,905861
小,145,905488
令,146,904387
江,147,898721
經,148,876475
義,149,873150
數,150,864350
武,151,861751
即,152,860399
外,153,860383
春,154,857006
石,155,855979
千,156,854949
等,157,854044
宗,158,853580
白,159,853570
馬,160,848137
欲,161,844410
司,162,841134
歸,163,839832
師,164,831005
周,165,828708
漢,166,826411
主,167,825403
命,168,814844
金,169,812373
内,170,808603
居,171,798960
河,172,792409
志,173,791807
或,174,788557
兩,175,780592
治,176,770502
我,177,764724
初,178,763667
法,179,759659
通,180,755057
黄,181,752989
重,182,748182
立,183,745416
聞,184,743732
氣,185,737348
物,186,735634
徳,187,732880
樂,188,728674
餘,189,723137
定,190,722663
意,191,722473
進,192,719490
侯,193,714870
處,194,707738
服,195,701049
神,196,700215
雲,197,698717
秋,198,694252
府,199,690354
間,200,687532
髙,201,685657
清,202,683250
常,203,671749
因,204,670329
守,205,670126
雖,206,661422
聖,207,659128
李,208,655504
都,209,651695
實,210,650374
和,211,649666
張,212,644657
取,213,644024
過,214,639205
焉,215,638136
食,216,638026
皇,217,635575
尚,218,635048
應,219,630116
陳,220,628979
各,221,628384
部,222,626116
既,223,625343
易,224,623448
始,225,621681
理,226,619531
死,227,619258
齊,228,618005
流,229,610357
少,230,604763
左,231,603668
惟,232,602928
海,233,600471
右,234,595745
遂,235,589885
合,236,589535
足,237,582916
善,238,582701
吾,239,579282
節,240,577520
宋,241,577136
興,242,572046
唐,243,570448
聲,244,568640
記,245,568251
功,246,563224
音,247,560615
父,248,557838
祖,249,555737
問,250,552949
盡,251,552279
光,252,550947
觀,253,549845
集,254,548139
舉,255,547722
章,256,541385
政,257,535943
論,258,534781
身,259,530540
林,260,529928
開,261,528765
思,262,527914
度,263,526910
稱,264,526684
宜,265,525560
位,266,524858
龍,267,521355
玉,268,520874
新,269,520175
制,270,519523
逺,271,519167
切,272,518236
反,273,517680
爾,274,516455
花,275,515858
郡,276,515574
猶,277,514996
起,278,514795
晉,279,514039
孫,280,513825
老,281,509865
注,282,508527
舊,283,492183
任,284,490167
深,285,489857
發,286,485659
建,287,484482
廣,288,483981
奏,289,482353
㑹,290,480616
請,291,479986
屬,292,478748
田,293,475843
親,294,475559
首,295,474234
異,296,473300
御,297,471388
甚,298,471079
酒,299,470952
語,300,469841
隂,301,468773
次,302,468014
難,303,466226
且,304,464872
宫,305,461347
利,306,460008
求,307,459718
豈,308,456648
終,309,455294
直,310,455208
賢,311,454237
衆,312,451550
路,313,450865
説,314,449595
凡,315,449374
仁,316,448655
色,317,448237
郎,318,448175
受,319,447069
望,320,443457
草,321,443355
夏,322,441113
女,323,441085
止,324,440825
加,325,439997
置,326,439382
劉,327,438174
夜,328,438012
卷,329,437766
木,330,434751
力,331,434386
莫,332,433428
詔,333,432886
青,334,432027
卒,335,430930
雨,336,429642
失,337,428176
耳,338,427693
奉,339,427617
嘗,340,425981
錢,341,425030
還,342,424856
京,343,424726
近,344,422592
致,345,421142
獨,346,419999
封,347,418998
議,348,415894
伯,349,413655
華,350,411248
信,351,410510
衣,352,410363
更,353,410055
鄭,354,407660
韻,355,406711
侍,356,405289
辭,357,403374
賦,358,400657
好,359,400540
母,360,400529
圖,361,397383
寒,362,397047
陵,363,394243
原,364,394065
哉,365,393699
化,366,392930
象,367,392381
卿,368,391875
由,369,390278
别,370,388214
楚,371,387238
固,372,386753
修,373,384918
土,374,384759
改,375,383543
變,376,383476
秦,377,382192
臨,378,380388
敢,379,377989
祭,380,375281
動,381,373054
第,382,373021
情,383,372159
車,384,369854
宣,385,368897
嵗,386,368710
益,387,367727
弟,388,366000
廟,389,363595
殺,390,361958
吏,391,361945
體,392,361199
堂,393,360328
孝,394,357906
口,395,357430
極,396,356593
往,397,355320
代,398,354309
許,399,353417
便,400,352932
空,401,351540
教,402,351090
著,403,350607
梁,404,348963
半,405,348919
魏,406,347286
客,407,344344
孔,408,344245
頭,409,342969
永,410,342705
全,411,340887
載,412,337645
對,413,337223
川,414,337137
勝,415,336991
遣,416,336298
引,417,335174
賜,418,335074
類,419,333171
乾,420,330986
並,421,330851
忠,422,330804
亂,423,330689
按,424,330596
省,425,328671
罪,426,328510
景,427,325649
坐,428,325366
貴,429,324862
飛,430,324021
降,431,322489
真,432,321991
趙,433,320400
病,434,320139
鄉,435,319888
甲,436,319180
賊,437,318797
仲,438,318029
拜,439,317151
后,440,317082
目,441,316785
絶,442,315889
考,443,315709
香,444,315368
火,445,314412
朱,446,313998
承,447,313584
交,448,312954
執,449,311890
表,450,311563
兮,451,310259
星,452,309915
向,453,309692
容,454,309344
解,455,308287
德,456,307477
歌,457,306426
嘉,458,305758
留,459,304706
盛,460,304278
儀,461,303681
室,462,302038
惡,463,301375
順,464,299626
職,465,299456
散,466,298784
寧,467,297749
共,468,297422
靈,469,295527
才,470,294122
紀,471,293899
濟,472,293040
送,473,292369
楊,474,291859
獻,475,291690
備,476,291339
告,477,290890
俱,478,289923
康,479,289805
徒,480,289353
衛,481,289302
手,482,288475
尊,483,288318
視,484,287260
吉,485,287254
似,486,286269
臺,487,285827
性,488,285827
湖,489,285683
戰,490,285299
遺,491,284636
形,492,284442
殿,493,284277
落,494,284199
除,495,284187
每,496,283976
存,497,283705
號,498,283018
遷,499,282363
爲,500,282036
但,501,281792
良,502,280986
敬,503,280972
登,504,280608
要,505,280526
久,506,280166
滿,507,278612
丁,508,277260
授,509,276805
曲,510,276575
比,511,276123
亡,512,275675
畫,513,275617
計,514,275395
隨,515,274643
誠,516,273257
序,517,272799
魯,518,272428
妻,519,272068
兼,520,272015
布,521,271527
疏,522,271306
伏,523,271254
精,524,271196
昭,525,271069
設,526,270720
羣,527,270397
飲,528,269883
特,529,269733
高,530,269689
再,531,268653
恩,532,268248
指,533,268243
工,534,267833
吳,535,267210
輕,536,265410
尺,537,265314
寺,538,264735
疑,539,264482
末,540,264226
總,541,264180
姓,542,263515
具,543,262401
題,544,261487
說,545,260616
離,546,259572
列,547,259533
泉,548,258824
面,549,258762
業,550,258617
待,551,258429
句,552,258207
升,553,257870
美,554,257559
葉,555,257444
監,556,256738
斯,557,254808
克,558,254228
孟,559,253529
予,560,252997
連,561,252986
疾,562,251769
福,563,251193
養,564,250619
竹,565,249674
率,566,248852
典,567,248743
愛,568,247911
遇,569,247896
運,570,247023
彼,571,246984
丹,572,246851
杜,573,246675
謝,574,246597
就,575,246582
轉,576,245857
俗,577,245627
刺,578,245321
伐,579,244494
魚,580,244427
韓,581,243946
保,582,243869
祀,583,243779
冬,584,243043
樹,585,243000
胡,586,242582
讀,587,241937
邑,588,241705
徐,589,241615
察,590,241260
報,591,240860
昌,592,240658
管,593,238256
領,594,237773
退,595,237695
補,596,237204
廷,597,237138
婦,598,236142
某,599,235181
野,600,234852
喜,601,234590
刑,602,234289
夷,603,233532
昔,604,232300
慶,605,230460
他,606,230002
湯,607,229361
撫,608,229274
鎮,609,228887
叔,610,228700
召,611,228172
積,612,227983
厚,613,227960
澤,614,227546
器,615,227173
期,616,226734
恐,617,226459
篇,618,226197
須,619,225493
户,620,225375
顧,621,224829
依,622,224797
識,623,224716
素,624,224606
申,625,224143
廢,626,224093
蓋,627,224052
釋,628,223911
崇,629,223638
延,630,223623
微,631,223347
蘇,632,223064
燕,633,221720
窮,634,221348
雅,635,220882
射,636,220550
幸,637,220496
到,638,220209
幾,639,220158
雪,640,219650
丞,641,218833
陸,642,218731
誰,643,218329
傷,644,217729
營,645,217234
将,646,217232
溪,647,217014
謀,648,216994
汝,649,216976
感,650,216727
兄,651,216377
員,652,216315
商,653,216293
推,654,215620
闕,655,215532
私,656,215390
藏,657,215103
越,658,214889
虚,659,214783
牛,660,214706
憂,661,213979
仙,662,213799
照,663,213731
亭,664,213658
給,665,213620
録,666,213564
庶,667,213444
威,668,212952
曹,669,212795
勞,670,212793
嚴,671,212077
庭,672,211871
博,673,211706
呼,674,211221
免,675,211161
參,676,211102
羅,677,211022
淮,678,210861
敗,679,210435
端,680,210065
陛,681,209897
院,682,209723
息,683,209541
遊,684,208789
貞,685,208752
邊,686,207951
勢,687,207693
己,688,207462
藥,689,207115
冠,690,206566
赤,691,204740
調,692,204219
權,693,203721
達,694,202286
破,695,202055
繼,696,201805
苦,697,201778
騎,698,201750
銀,699,201567
附,700,201351
施,701,201037
願,702,200627
儒,703,200621
余,704,200508
寸,705,200305
統,706,200295
樓,707,199634
詳,708,199575
松,709,199553
差,710,199536
辰,711,198962
懐,712,198498
被,713,198340
欽,714,198297
據,715,198265
持,716,198225
害,717,196909
簡,718,196478
仍,719,196459
池,720,196332
結,721,196278
閣,722,195724
鳥,723,194853
甘,724,194596
納,725,194462
盖,726,194122
卦,727,194120
夢,728,193461
移,729,193460
幽,730,193351
紅,731,193057
務,732,192945
虞,733,192762
舟,734,192598
造,735,192052
孤,736,190915
沙,737,190796
收,738,190576
角,739,190001
宿,740,189757
督,741,189499
筆,742,189189
斷,743,189149
攻,744,188657
急,745,188630
適,746,188582
果,747,188128
咸,748,187594
謹,749,187541
休,750,187096
舍,751,187085
歴,752,187068
虎,753,186465
選,754,186218
爵,755,185955
熱,756,185846
并,757,185330
寳,758,185141
尉,759,184112
竒,760,183837
禁,761,183643
案,762,183474
厯,763,183183
尋,764,183059
浮,765,182659
聽,766,182351
葢,767,181284
季,768,181146
征,769,181072
忽,770,180980
細,771,180535
貢,772,179941
罷,773,179934
律,774,179709
友,775,179659
温,776,179477
邪,777,178703
贈,778,178437
掌,779,178428
獲,780,178219
庫,781,178003
尤,782,177977
宰,783,177873
闗,784,177023
詞,785,176045
恭,786,175983
兒,787,175788
谷,788,175168
来,789,174842
校,790,174074
乗,791,173785
剛,792,173211
富,793,173087
寄,794,172938
烏,795,172650
郭,796,172549
試,797,172480
副,798,172245
紫,799,172112
皮,800,172076
鳴,801,171970
雜,802,171558
擊,803,171425
念,804,171257
只,805,171163
源,806,170637
露,807,170209
刻,808,169890
笑,809,169652
郊,810,169608
喪,811,169522
種,812,169400
賞,813,169119
垂,814,169043
僧,815,168724
追,816,168570
品,817,168330
泰,818,168252
哀,819,168078
約,820,167861
巻,821,167622
㫖,822,167584
諭,823,167583
榮,824,167354
豐,825,167175
丈,826,167084
辛,827,166872
血,828,166631
旗,829,166595
洪,830,166088
莊,831,166068
帶,832,165920
英,833,165522
悉,834,165278
隆,835,165042
患,836,165007
蕭,837,164853
朕,838,164165
无,839,163759
示,840,163610
折,841,163547
薄,842,162541
朔,843,162112
蜀,844,161786
横,845,161349
撰,846,160974
例,847,160666
逆,848,160447
羊,849,160277
資,850,160065
忘,851,159995
巳,852,159785
乙,853,159011
戒,854,158921
顯,855,158867
役,856,158490
看,857,158479
累,858,158393
最,859,158298
乞,860,158288
毛,861,158125
驚,862,158078
蔡,863,157749
程,864,157708
界,865,157437
橋,866,157060
帥,867,156672
丘,868,156502
阿,869,156399
輔,870,156392
夕,871,156296
顔,872,155933
游,873,155366
惠,874,154641
碑,875,154446
回,876,154052
舞,877,154008
接,878,154006
誤,879,153971
甫,880,153861
米,881,153742
羽,882,153718
塵,883,153594
愈,884,153134
痛,885,152923
井,886,152420
鼓,887,152289
枝,888,152274
敵,889,152256
訓,890,152208
洛,891,151871
防,892,151763
沈,893,151042
曽,894,150809
農,895,150762
根,896,150462
質,897,149949
弗,898,149693
薦,899,149519
犯,900,148972
荆,901,148723
市,902,148706
條,903,148702
祠,904,148337
充,905,147958
干,906,147602
覺,907,147364
習,908,147209
負,909,147187
走,910,146444
味,911,146255
衰,912,146189
塞,913,145959
禹,914,145842
揚,915,145826
乘,916,145600
放,917,145189
滅,918,144691
衡,919,143801
園,920,143776
震,921,143745
仕,922,143454
維,923,143053
奔,924,142794
仰,925,142605
迎,926,142353
雄,927,142134
機,928,142067
社,929,141912
覆,930,141501
雍,931,141376
柔,932,141169
嗣,933,141044
閒,934,141004
註,935,140856
吕,936,140646
族,937,140571
討,938,140334
蘭,939,139837
骨,940,139772
聚,941,139609
危,942,139582
勿,943,139515
夀,944,139383
洞,945,139364
齋,946,139145
畢,947,139026
怒,948,138994
穆,949,138839
珠,950,138753
佐,951,138619
翰,952,138579
勤,953,138466
午,954,138380
却,955,138129
賔,956,138083
房,957,138004
支,958,137956
呉,959,137728
委,960,137684
耶,961,137539
强,962,137201
肅,963,136813
籍,964,136504
伊,965,136246
智,966,136087
隠,967,135955
蒼,968,135913
男,969,135772
狀,970,135509
愚,971,135482
責,972,135480
唯,973,134872
懼,974,134744
圍,975,134580
竊,976,134557
提,977,134509
堯,978,134451
漸,979,134437
棄,980,134312
科,981,134267
増,982,134110
早,983,133630
桓,984,133610
堅,985,133601
姑,986,133382
辨,987,133303
編,988,133155
庚,989,132949
殊,990,132746
波,991,132488
襄,992,132456
厥,993,131834
梅,994,131628
救,995,130896
斗,996,130859
禄,997,130300
兹,998,130242
鹽,999,130050
舜,1000,130013
符,1001,129989
丙,1002,129947
范,1003,128992
翻,1004,128816
僕,1005,128464
會,1006,127895
賈,1007,127604
屋,1008,127332
邦,1009,127011
畏,1010,126967
班,1011,126816
墓,1012,126635
駕,1013,126613
桂,1014,126562
鼎,1015,126183
術,1016,126181
講,1017,126037
祥,1018,125970
關,1019,125904
避,1020,125896
肉,1021,125849
歲,1022,125792
戎,1023,125681
誅,1024,125583
稽,1025,125503
靖,1026,125321
秀,1027,125164
鍾,1028,124756
銘,1029,124573
裏,1030,124285
尹,1031,124271
雙,1032,124240
丸,1033,123607
境,1034,123497
霜,1035,123367
醉,1036,123109
况,1037,123010
逐,1038,122419
均,1039,122240
墨,1040,121619
徃,1041,121302
襲,1042,121135
采,1043,120928
慮,1044,120918
殷,1045,120918
熙,1046,120845
坤,1047,120842
芳,1048,120714
宻,1049,120390
佛,1050,120314
曾,1051,119718
赴,1052,119442
否,1053,119418
屯,1054,119257
假,1055,119084
盟,1056,118626
稍,1057,118206
格,1058,118155
傅,1059,118146
革,1060,118049
牧,1061,117945
荒,1062,117871
廬,1063,117724
財,1064,117452
寛,1065,117377
量,1066,117296
熟,1067,117264
黨,1068,116948
貧,1069,116858
陰,1070,116688
錫,1071,116555
險,1072,116329
妙,1073,116074
弱,1074,116035
䝉,1075,115774
獄,1076,115549
紹,1077,115439
畧,1078,115304
招,1079,115222
翼,1080,115156
絲,1081,115133
桑,1082,115121
怨,1083,115038
嶺,1084,114990
旦,1085,114836
助,1086,114757
禍,1087,114652
曉,1088,114585
雷,1089,114358
糧,1090,114294
額,1091,114180
輿,1092,114151
費,1093,114071
船,1094,113970
凶,1095,113954
吹,1096,113951
翠,1097,113813
築,1098,113723
減,1099,112975
專,1100,112915
逢,1101,112535
判,1102,112512
諫,1103,112327
乆,1104,112227
栁,1105,112008
倉,1106,111980
振,1107,111928
縱,1108,111925
履,1109,111733
祝,1110,111675
竟,1111,111637
翁,1112,111626
暮,1113,111588
愁,1114,111328
戊,1115,111284
淵,1116,111233
葬,1117,110859
壁,1118,110340
腹,1119,110162
席,1120,110127
陶,1121,110055
憲,1122,109677
步,1123,109322
勒,1124,109316
祐,1125,109287
巖,1126,109251
索,1127,108946
桃,1128,108725
屈,1129,108621
勸,1130,108353
寅,1131,108235
賀,1132,108114
辟,1133,108024
損,1134,108022
階,1135,107962
供,1136,107932
悲,1137,107922
鶴,1138,107770
壯,1139,107475
徑,1140,107273
答,1141,107072
逸,1142,107023
稷,1143,107007
密,1144,106752
違,1145,106747
侵,1146,106651
宇,1147,106629
述,1148,106623
寡,1149,106527
盤,1150,106397
錦,1151,106196
䇿,1152,106131
隋,1153,106113
巴,1154,106057
投,1155,105950
豫,1156,105846
影,1157,105832
懷,1158,105751
貫,1159,105517
館,1160,105385
庸,1161,105245
碧,1162,105096
壬,1163,104580
占,1164,104410
渡,1165,103917
材,1166,103914
印,1167,103879
㣲,1168,103836
渠,1169,103633
消,1170,103520
隱,1171,103470
盧,1172,103257
徙,1173,102876
介,1174,102598
吐,1175,102476
卜,1176,102134
麗,1177,102099
斬,1178,101700
短,1179,101637
背,1180,101578
允,1181,101532
循,1182,101179
慎,1183,100917
彦,1184,100663
巡,1185,100365
旅,1186,100032
軒,1187,99889
繫,1188,99856
式,1189,99422
静,1190,99335
徴,1191,99314
堪,1192,99235
衞,1193,99221
麻,1194,99095
丑,1195,99065
頗,1196,98851
配,1197,98794
眼,1198,98627
䕶,1199,98562
審,1200,98543
爻,1201,98516
佳,1202,98370
偏,1203,98267
洗,1204,98235
崔,1205,98157
享,1206,98031
頃,1207,97968
弓,1208,97963
遲,1209,97932
洲,1210,97909
勇,1211,97839
歎,1212,97693
擇,1213,97455
村,1214,97380
耕,1215,97035
扶,1216,96915
孰,1217,96889
殘,1218,96844
贊,1219,96693
癸,1220,96607
際,1221,96591
賓,1222,96527
卑,1223,96465
盈,1224,96320
毎,1225,96114
禪,1226,96086
尾,1227,96082
宅,1228,96033
鴻,1229,95816
奪,1230,95768
爭,1231,95655
詣,1232,95555
效,1233,95489
倚,1234,95341
慈,1235,95325
續,1236,95223
塘,1237,94978
晚,1238,94910
茂,1239,94869
酉,1240,94721
寶,1241,94674
産,1242,94410
馳,1243,94266
豆,1244,94221
宴,1245,94046
苑,1246,93796
妄,1247,93735
困,1248,93587
含,1249,93450
吟,1250,93411
略,1251,93388
惜,1252,93337
樞,1253,93055
毒,1254,92976
旁,1255,92523
鬼,1256,92513
底,1257,92178
烈,1258,92081
扵,1259,92061
鳯,1260,92018
童,1261,91976
舒,1262,91908
契,1263,91748
煩,1264,91731
冷,1265,91279
倫,1266,91258
希,1267,91229
烟,1268,91004
飾,1269,90922
咎,1270,90863
賤,1271,90782
綱,1272,90633
導,1273,90597
寵,1274,90597
哭,1275,90436
鹿,1276,90393
雞,1277,90306
兆,1278,90143
紛,1279,90085
徵,1280,89841
忍,1281,89749
純,1282,89657
頌,1283,89616
決,1284,89547
虛,1285,89283
肆,1286,89028
規,1287,88887
署,1288,88818
淳,1289,88683
操,1290,88651
側,1291,88543
壽,1292,88433
鐘,1293,88432
揮,1294,88382
錄,1295,88355
檢,1296,88337
環,1297,88304
榖,1298,88147
旋,1299,87973
亥,1300,87963
汗,1301,87957
韋,1302,87808
屢,1303,87776
奴,1304,87700
杖,1305,87657
恨,1306,87502
岸,1307,87326
緑,1308,87202
鳳,1309,87111
傾,1310,86932
浙,1311,86533
災,1312,86356
區,1313,86202
暴,1314,86154
煙,1315,86119
訪,1316,86115
優,1317,86019
偶,1318,85999
津,1319,85800
琴,1320,85700
蒲,1321,85598
恒,1322,85466
歩,1323,85374
限,1324,85261
貌,1325,85252
戸,1326,85199
該,1327,84976
瑞,1328,84900
項,1329,84865
酌,1330,84775
彭,1331,84500
係,1332,84335
岳,1333,84322
戌,1334,84149
尸,1335,84026
銅,1336,83940
懸,1337,83796
㸃,1338,83593
單,1339,82971
覽,1340,82884
趨,1341,82702
圓,1342,82453
昏,1343,82429
戴,1344,82308
了,1345,82299
遵,1346,82276
塗,1347,82252
縁,1348,82153
獸,1349,82106
厲,1350,81807
毫,1351,81775
忌,1352,81622
躬,1353,81580
談,1354,81511
讓,1355,81468
禦,1356,81424
茶,1357,81314
隔,1358,81277
抱,1359,81270
預,1360,81257
歡,1361,81181
旌,1362,81093
證,1363,81048
速,1364,80831
晝,1365,80673
借,1366,80630
歳,1367,80575
謙,1368,80450
淺,1369,80410
鮮,1370,80157
諱,1371,79987
黒,1372,79945
脩,1373,79891
繁,1374,79864
盜,1375,79742
勉,1376,79601
珍,1377,79581
亮,1378,79455
矢,1379,79275
擬,1380,78969
援,1381,78727
壇,1382,78644
詠,1383,78376
帛,1384,78212
靜,1385,78126
肯,1386,78050
嗟,1387,77653
葛,1388,77599
寜,1389,77516
啟,1390,77419
抵,1391,77361
遼,1392,77240
帖,1393,77114
謁,1394,77064
泥,1395,76918
煎,1396,76917
齒,1397,76672
㡬,1398,76666
彌,1399,76463
粟,1400,76374
增,1401,76053
峯,1402,76031
柱,1403,76006
抑,1404,75905
刀,1405,75796
董,1406,75767
亨,1407,75723
麥,1408,75692
靡,1409,75666
妃,1410,75635
擢,1411,75405
慕,1412,75404
匹,1413,75300
禽,1414,75181
藝,1415,74926
疎,1416,74888
卧,1417,74743
蕃,1418,74672
旱,1419,74639
諡,1420,74613
茍,1421,74555
豪,1422,74400
牙,1423,74374
寢,1424,74339
穀,1425,74309
啓,1426,74297
奠,1427,74295
簿,1428,74202
策,1429,74179
潤,1430,74175
蠻,1431,74166
敏,1432,74104
馮,1433,74102
迹,1434,73979
戚,1435,73737
叛,1436,73612
悔,1437,73528
毁,1438,73377
荷,1439,73301
倍,1440,73249
俟,1441,73151
駐,1442,73139
薛,1443,72980
遥,1444,72966
住,1445,72871
潛,1446,72761
罰,1447,72761
浩,1448,72758
穴,1449,72269
驅,1450,72255
醫,1451,72228
瞻,1452,72213
裁,1453,72200
鐵,1454,72195
晴,1455,72154
浦,1456,72136
植,1457,71977
缺,1458,71964
融,1459,71775
想,1460,71658
緩,1461,71554
蕩,1462,71503
毋,1463,71415
跡,1464,71250
邉,1465,71122
輪,1466,71027
查,1467,70911
買,1468,70903
憐,1469,70871
偽,1470,70799
慰,1471,70729
眀,1472,70708
屏,1473,70671
徽,1474,70639
聴,1475,70622
閉,1476,70510
渾,1477,70471
釐,1478,70405
坎,1479,70295
厭,1480,70195
錯,1481,70161
衍,1482,70104
藩,1483,69994
寂,1484,69927
超,1485,69796
束,1486,69689
製,1487,69534
姦,1488,69505
俾,1489,69352
牲,1490,69141
泣,1491,68862
惑,1492,68722
浪,1493,68689
燈,1494,68687
台,1495,68619
辱,1496,68170
頓,1497,68066
勲,1498,68007
輒,1499,67929
俊,1500,67888
蟲,1501,67860
膏,1502,67286
凝,1503,67285
紙,1504,67237
候,1505,67161
付,1506,67117
憶,1507,67049
冀,1508,66975
逹,1509,66914
貨,1510,66800
凉,1511,66663
巨,1512,66575
赦,1513,66486
誦,1514,66481
基,1515,66391
哈,1516,66213
宮,1517,66191
逃,1518,66161
那,1519,66145
域,1520,66109
茅,1521,66097
採,1522,66084
畜,1523,66071
敦,1524,65990
暑,1525,65885
朋,1526,65685
炎,1527,65665
妾,1528,65387
踰,1529,65336
䘮,1530,65235
髪,1531,65106
冊,1532,65038
怪,1533,64960
辦,1534,64885
協,1535,64815
掩,1536,64759
霞,1537,64617
决,1538,64503
距,1539,64464
争,1540,64288
貪,1541,64163
巧,1542,64130
黎,1543,64067
聘,1544,64041
零,1545,64013
拾,1546,64010
斜,1547,63873
藻,1548,63767
袁,1549,63732
澄,1550,63680
停,1551,63642
姚,1552,63630
績,1553,63603
湘,1554,63546
狂,1555,63366
濕,1556,63307
寫,1557,63292
倒,1558,63289
饑,1559,63250
沉,1560,63205
練,1561,63195
鏡,1562,63185
陜,1563,63177
完,1564,63169
叅,1565,63132
晏,1566,63106
舎,1567,62987
研,1568,62846
託,1569,62825
秩,1570,62801
溝,1571,62761
戍,1572,62724
狄,1573,62693
脉,1574,62576
奮,1575,62569
尼,1576,62358
驛,1577,62318
儉,1578,62316
激,1579,62302
麟,1580,62292
疆,1581,62225
輸,1582,62167
座,1583,62157
衝,1584,62151
鑑,1585,62147
愧,1586,62079
暇,1587,61913
焚,1588,61808
巢,1589,61706
徹,1590,61641
漁,1591,61618
篤,1592,61588
桐,1593,61484
漫,1594,61345
胥,1595,61308
包,1596,61236
熈,1597,61209
歟,1598,61190
蒙,1599,61174
互,1600,61170
鄰,1601,61143
悟,1602,61075
冦,1603,61072
坡,1604,61007
匪,1605,60991
勅,1606,60978
併,1607,60457
價,1608,60209
陷,1609,60181
峰,1610,60133
晦,1611,60131
漏,1612,60089
廵,1613,60047
把,1614,60002
沒,1615,59926
嗚,1616,59918
叙,1617,59905
歐,1618,59895
蔽,1619,59743
潮,1620,59330
像,1621,59291
夾,1622,59102
悠,1623,58999
孚,1624,58947
幼,1625,58912
遠,1626,58794
藉,1627,58766
逰,1628,58746
訟,1629,58640
暗,1630,58497
凌,1631,58418
浸,1632,58291
敷,1633,58289
遽,1634,58287
蓮,1635,58238
戲,1636,58225
燒,1637,58222
輩,1638,58197
竭,1639,58137
晩,1640,58070
育,1641,58020
突,1642,57997
傍,1643,57862
拂,1644,57789
擾,1645,57753
伍,1646,57753
艱,1647,57745
斤,1648,57703
陣,1649,57685
片,1650,57664
佩,1651,57624
阻,1652,57609
没,1653,57524
驗,1654,57482
蓬,1655,57388
黙,1656,57343
貳,1657,57313
幣,1658,57273
展,1659,57135
晨,1660,57112
燭,1661,56961
蛇,1662,56836
弼,1663,56832
眉,1664,56721
奚,1665,56613
鄙,1666,56598
削,1667,56529
亷,1668,56509
柳,1669,56504
鄧,1670,56425
璧,1671,56377
俯,1672,56373
普,1673,56332
段,1674,56236
秉,1675,56004
殆,1676,55890
卯,1677,55836
炒,1678,55735
穿,1679,55705
翔,1680,55672
圭,1681,55625
究,1682,55606
裳,1683,55574
秘,1684,55571
僅,1685,55539
滋,1686,55496
氷,1687,55477
牽,1688,55351
宏,1689,55279
崩,1690,55248
潭,1691,55244
悦,1692,55140
脱,1693,55131
姜,1694,55117
幹,1695,54979
較,1696,54971
黃,1697,54960
弊,1698,54792
活,1699,54744
裕,1700,54721
祈,1701,54718
荀,1702,54717
拘,1703,54713
鑿,1704,54474
恤,1705,54465
斂,1706,54446
箇,1707,54437
貶,1708,54324
姬,1709,54209
測,1710,54116
攝,1711,54009
畝,1712,53997
盗,1713,53991
腸,1714,53929
